DraftYear,Player,CollegeTeam,CollegeUser,Pos,Class,OVR,DraftRound
2042,O. Ankou,Georgia Tech,,RG,SR (RS),94,2
2042,J. Tryon,Georgia Tech,,CB,JR (RS),94,2
2042,L. Winston,Nebraska,,WR,JR (RS),94,2
2042,L. Teamer,Nebraska,,CB,SR,94,2
2042,W. Book,Notre Dame,,QB,SR (RS),94,2
2042,J. Vildor,Notre Dame,,HB,JR (RS),94,2
2042,W. Book,Notre Dame Fighting Irish,,QB,SR (RS),94,2
2042,J. Vildor,Notre Dame Fighting Irish,,HB,JR (RS),94,2
2042,D. Rimpf,Ohio State,,FS,SR (RS),94,2
2042,V. Forsett,Oklahoma,,CB,SR,94,2
2042,H. Lemonier,Ole Miss,,DT,SR,94,2
2042,B. McPherson,Oregon,,HB,SO (RS),94,2
2042,L. Ejiya,Penn State,,LG,SO (RS),94,2
2042,T. Kwiatkoski,Pittsburgh,,LT,SR (RS),94,2
2042,J. Ellington,Texas,,WR,JR (RS),94,2
2042,J. Lane,Texas,,WILL,SR (RS),94,2
2042,A. Selvia,USC,,TE,SR,94,2
2042,J. Yeast,USF,Josh,HB,SR,94,2
2042,J. Pyke,USF,Josh,DT,SR,94,2
2042,R. Holyfield,Florida,Doug,CB,SO (RS),94,2
2042,M. Levrone,Florida,Doug,CB,SR,93,2
2042,J. Upshaw,Nebraska,,SAM,SR (RS),93,2
2042,G. Johnson,Nebraska,,CB,SO (RS),93,2
2042,M. Latsko,Washington,,WR,SR (RS),93,2
2042,T. Keur,Bowling Green,Devin,REDG,SR (RS),93,2
2042,T. Ibrahim,Colorado State,,C,SR (RS),93,2
2042,M. Levone,Florida,Doug,CB,SR,93,2
2042,J. Carreon,Notre Dame,,LG,SO (RS),94,3
2042,J. Carreon,Notre Dame Fighting Irish,,LG,SO (RS),94,3
2042,A. Erving,Florida,Doug,HB,JR (RS),94,3
2042,C. Tahor,Nebraska,,QB,JR (RS),93,3
2042,C. Tabor,Nebraska,,QB,JR (RS),93,3
2042,P. Rossi,Ohio State,,RT,SR (RS),93,3
2042,R. Talib,Oklahoma,,WR,SR (RS),93,3
2042,K. Montgomery,Penn State,,DT,SR (RS),93,3
2042,T. Joslin,Rapid City,,HB,JR (RS),93,3
2042,J. Brown,Texas,,WR,SR (RS),93,3
2042,O. Bush,Texas,,LEDG,SR (RS),93,3
2042,T. Dillard,Texas Tech,Noah,HB,JR (RS),93,3
2042,F. Scruggs,UCLA,,WR,SR,93,3
2042,D. Colombo,Washington,,WR,SO (RS),93,3
2042,C. Flowers,Charlotte,,QB,SR (RS),93,3
2042,C. Surratt,Clemson,,RG,SR (RS),93,3
2042,B. Gaydosh,Colorado State,,WR,JR (RS),93,3
2042,C. Montgomery,Duke,,WR,JR (RS),93,3
2042,T. Gaydosh,Miami,,CB,SR (RS),92,3
2042,M. Dalton,Nebraska,,HB,SR (RS),92,3
2042,T. Ebron,North Carolina,,CB,SR,92,3
2042,C. Slovis,Notre Dame,,TE,SR (RS),92,3
2042,C. Butt,Notre Dame,,C,SR (RS),92,3
2042,C. Slovis,Notre Dame Fighting Irish,,TE,SR (RS),92,3
2042,C. Butt,Notre Dame Fighting Irish,,C,SR (RS),92,3
2042,T. Square,Oklahoma,,REDG,SR (RS),92,3
2042,A. Lange,Rapid City,,LT,SR (RS),92,3
2042,J. Abram,Texas,,DT,SR (RS),92,3
2042,A. Queen,Tulane,,SAM,SR (RS),92,3
2042,K. Rasmussen,USC,,RT,SR (RS),92,3
2042,K. Avril,USF,Josh,LEDG,SR (RS),92,3
2042,P. King,Wyoming,,REDG,SR (RS),92,3
2042,A. Walters,Alabaster,,MIKE,SR (RS),92,3
2042,S. Herron,Auburn,,WR,SR (RS),92,3
2042,J. Lorello,Texas,,CB,SR,91,3
2042,B. Freeman,Alabaster,,CB,SR (RS),91,3
2042,G. Geer,LSU,,HB,SR (RS),92,4
2042,J. Carney,Liberty,,WR,JR (RS),92,4
2042,R. Hyde,Michigan,,HB,SR,92,4
2042,G. Ngata,Notre Dame,,HB,SR (RS),92,4
2042,G. Ngata,Notre Dame Fighting Irish,,HB,SR (RS),92,4
2042,B. Tam,Ohio State,,LEDG,SR (RS),92,4
2042,S. Cho,Texas,,RT,SR (RS),92,4
2042,E. Kaddu,UMass,,WR,SO (RS),92,4
2042,T. Lamm,USC,,LEDG,SR (RS),92,4
2042,J. LaRocque,Washington,,REDG,SR (RS),92,4
2042,M. Cleland,Wyoming,,WR,SR,92,4
2042,D. Loyd,Alabama,,WR,SR (RS),92,4
2042,M. Pool,Alabaster,,QB,JR (RS),92,4
2042,B. Fifita,Arkansas,,HB,SR (RS),92,4
2042,N. Sagapolu,Auburn,,QB,SR (RS),92,4
2042,D. Waiters,Clemson,,HB,JR (RS),92,4
2042,L. Boger,Clemson,,WR,SO (RS),92,4
2042,J. Rashed,Georgia,,MIKE,SR,91,4
2042,A. Lundy,Georgia,,CB,SR,91,4
2042,F. Shembo,Miami,,WR,JR (RS),91,4
2042,C. Kuhn,North Carolina,,WR,SO (RS),91,4
2042,D. Finley,Ohio State,,MIKE,SR,91,4
2042,J. Montiel,Ole Miss,,RT,SR (RS),91,4
2042,K. Dunbar,Ole Miss,,CB,JR (RS),91,4
2042,J. Bryant,Penn State,,WILL,SR (RS),91,4
2042,D. Redman,Texas Tech,Noah,LG,SR (RS),91,4
2042,T. Farris,Wyoming,,TE,SR,91,4
2042,R. Fayad,Death Valley,,FS,SR,91,4
2042,M. Coale,Florida,Doug,C,SR (RS),91,4
2042,D. Scruggs,Georgia Tech,,CB,JR (RS),90,4
2042,D. Tuten,Michigan,,CB,SR (RS),90,4
2042,E. Womack,Alabaster,,DT,SR (RS),90,4
2042,J. Cannida,San Jose State,Mike,LG,SR (RS),90,4
2042,D. Cummins,Georgia,,C,SR (RS),91,5
2042,L. Ogbogu,Georgia,,LT,SR (RS),91,5
2042,R. Vick,Hammond,,HB,SO (RS),91,5
2042,A. Ghiaciuc,Houston,,REDG,SR (RS),91,5
2042,W. Corner,LSU,,WR,SO (RS),91,5
2042,J. Flemister,LSU,,LT,SR (RS),91,5
2042,J. Power,Miami,,WR,JR (RS),91,5
2042,G. Hester,Miami,,REDG,SR (RS),91,5
2042,D. Owen,Michigan,,RT,SR (RS),91,5
2042,Q. Enunwa,NC State,,WR,SR (RS),91,5
2042,B. Hester,Ole Miss,,WR,SR (RS),91,5
2042,S. Taumoepeau,Oregon,,LEDG,SR,91,5
2042,F. Bing,Rapid City,,HB,SR,91,5
2042,T. Agholor,Tennessee,,WR,JR (RS),91,5
2042,J. Paul,Tennessee,,WR,SR (RS),91,5
2042,K. Rich,Texas,,C,SR (RS),91,5
2042,S. Bullitt,Troy,,MIKE,SR (RS),91,5
2042,B. Husein,USF,Josh,SAM,SR (RS),91,5
2042,N. Urbik,Virginia Tech,,HB,SR,91,5
2042,D. Dafork,Wake Forest,,QB,SR (RS),91,5
2042,L. Emery,Arkansas,,QB,SR (RS),91,5
2042,M. Pierce,Bowling Green,Devin,HB,JR,91,5
2042,J. Kalambayi,Clemson,,WR,SR (RS),91,5
2042,E. Smith,Florida,Doug,HB,SR,91,5
2042,C. Mumphrey,Hammond,,DT,SR,90,5
2042,C. Boudreaux,LSU,,LG,SR (RS),90,5
2042,M. Godwin,Ohio State,,TE,SR (RS),90,5
2042,T. Bannon,Ohio State,,FS,SR,90,5
2042,N. Elmore,Oklahoma,,CB,SR,90,5
2042,B. Dickens,TCU,,CB,SR (RS),90,5
2042,D. Corner,TCU,,CB,SR,89,5
2042,J. Volk,TCU,,SS,SR (RS),89,5
2042,D. Kafka,Michigan,,WR,SR,91,6
2042,M. Adams,Notre Dame,,WR,SR (RS),91,6
2042,M. Adams,Notre Dame Fighting Irish,,WR,SR (RS),91,6
2042,J. Flemister,Texas A&M,,WR,SR (RS),91,6
2042,C. Soroh,UCF,,QB,SR (RS),91,6
2042,C. Funchess,Georgia,,QB,SR (RS),90,6
2042,C. Fungess,Georgia,,QB,SR (RS),90,6
2042,Q. Middlebrooks,Georgia,,LEDG,SR (RS),90,6
2042,S. Mathieu,Georgia,,DT,SR (RS),90,6
2042,F. Jones,Hammond,,WILL,SR,90,6
2042,S. Lotulelei,Houston,,MIKE,SR,90,6
2042,J. Lamp,Indiana,,HB,SR (RS),90,6
2042,N. Lambo,Louisville,,WR,SR,90,6
2042,A. Iwuchukwu,Miami,,QB,SR (RS),90,6
2042,D. Smith,Miami,,SAM,SR (RS),90,6
2042,C. Berhe,Missouri,,WR,SR,90,6
2042,S. Shipley,Nebraska,,WR,SR (RS),90,6
2042,D. Stokes,North Texas,,MIKE,SR,90,6
2042,J. Strong,Notre Dame,,SAM,SR (RS),90,6
2042,J. Strong,Notre Dame Fighting Irish,,SAM,SR (RS),90,6
2042,I. Toilolo,Stanford,,QB,SR (RS),90,6
2042,K. Johnson,Texas Tech,Noah,LEDG,SR (RS),90,6
2042,D. Breida,Appalachian State,,HB,SR,90,6
2042,J. Loyd,Death Valley,,WR,JR,90,6
2042,T. Trueblood,NC State,,CB,SR,89,6
2042,I. Burr,NC State,,FS,SR (RS),89,6
2042,M. Ellefson,Penn State,,RT,SR (RS),89,6
2042,D. O'Callaghan,Rapid City,,DT,SR (RS),89,6
2042,M. Castillo,Tennessee,,TE,SR (RS),89,6
2042,K. Okuayinonu,Wyoming,,FS,SR,89,6
2042,A. Devito,Alabama,,CB,SR (RS),89,6
2042,R. Dallas,Arizona State,,RG,SR,89,6
2042,A. Estes,Panama City,,CB,SR (RS),88,6
2042,I. McHugh,SMU,,FS,SR,88,6
2042,C. Loudermilk,USF,Josh,C,SR (RS),88,6
2042,J. Gado,Iowa State,,QB,SR (RS),90,7
2042,E. Lamp,San Diego State,,WR,SR (RS),90,7
2042,M. Boone,Alabama,,WR,SR (RS),90,7
2042,C. Bloom,Georgia,,WR,SR,89,7
2042,T. Lorenzen,Hammond,,WILL,SR,89,7
2042,I. Nakamura,Indiana,,WR,SR,89,7
2042,S. Kenyon,Kennesaw State,,QB,SR (RS),89,7
2042,D. Gash,Kentucky,,LEDG,SR (RS),89,7
2042,D. Edmond,Liberty,,WR,SR,89,7
2042,J. Spruce,Michigan,,REDG,SR (RS),89,7
2042,B. McCluster,Nebraska,,SAM,SR,89,7
2042,G. Forte,North Carolina,,QB,SR (RS),89,7
2042,K. Holiday,Ohio State,,HB,SR (RS),89,7
2042,S. StJohn,Oklahoma,,SAM,SR (RS),89,7
2042,J. Silver,Penn State,,RG,SR (RS),89,7
2042,D. Crumpler,SMU,,TE,SR (RS),89,7
2042,X. Sexton,Southern Mississippi,,REDG,SR (RS),89,7
2042,N. Priester,USF,Josh,LT,SR (RS),89,7
2042,D. Augustine,Alabama,,WILL,SR (RS),89,7
2042,C. Williams,Alabaster,,WILL,SR (RS),89,7
2042,D. Carney,Arizona State,,QB,SR (RS),89,7
2042,M. Cross,Arkansas,,WR,SR,89,7
2042,S. Cheek,Clemson,,HB,SR (RS),89,7
2042,T. Gaskin,Florida State,Nick,DT,SR (RS),89,7
2042,G. Jewell,Georgia Tech,,DT,SR (RS),88,7
2042,M. Cooke,Michigan,,FS,SR,88,7
2042,K. Cook,Nebraska,,FS,SR,88,7
2042,D. Dwyer,Oregon,,TE,SR (RS),88,7
2042,D. Burns,Washington,,C,SR (RS),88,7
2042,M. Salmon,Michigan,,SS,SR (RS),87,7
2042,B. Velasquez,Ole Miss,,CB,SR (RS),87,7
2042,T. Rheem,Appalachian State,,SS,SR,87,7
