Season,Team,Name,Year,Pos,OVR,SPD,ACC,AGI,COD,STR,AWR,REDSHIRT
2041,Bowling Green,L.Kight,FR (RS),SAM,79,88,89,81,78,77,74,0
2041,Bowling Green,T.Cummins,SO (RS),HB,79,92,96,83,81,79,73,0
2041,Bowling Green,T.Bridges,SO (RS),C,79,73,79,74,38,88,65,0
2041,Bowling Green,H.Schilens,FR,RG,79,66,80,72,62,93,65,0
2041,Bowling Green,K.Wicks,SR (RS),CB,79,86,85,84,99,63,73,0
2041,Bowling Green,J.Cribbs,FR (RS),QB,79,78,87,88,88,51,69,0
2041,Bowling Green,M.Delaney,FR (RS),REDG,79,88,86,75,67,88,73,0
2041,Bowling Green,B.Ali,SR (RS),CB,78,87,84,84,99,64,65,0
2041,Bowling Green,D.Bigsby,JR (RS),REDG,78,79,82,77,68,81,75,0
2041,Bowling Green,D.Terrill,JR (RS),WR,78,88,83,90,83,72,86,0
2041,Bowling Green,J.Draft,SO (RS),SAM,78,78,83,82,76,71,78,0
2041,Bowling Green,L.Sanders,JR,MIKE,78,83,92,86,84,81,74,0
2041,Bowling Green,I.Cooks,FR (RS),DT,78,59,72,59,63,92,73,0
2041,Bowling Green,J.Jackson,SO,WR,78,88,94,93,83,69,76,0
2041,Bowling Green,F.Pope,JR (RS),SAM,77,88,90,87,73,70,72,0
2041,Bowling Green,E.Hix,JR (RS),FS,77,95,90,78,80,62,72,0
2041,Bowling Green,G.Judovsky,JR (RS),LG,77,62,69,64,37,82,69,0
2041,Bowling Green,N.Murphey,JR (RS),CB,77,90,92,89,90,68,74,0
2041,Bowling Green,N.Robertson,SO (RS),WR,77,92,89,98,93,61,74,0
2041,Bowling Green,C.Anderson,FR,DT,77,64,72,63,48,92,65,0
2041,Bowling Green,J.McCoo,JR (RS),RT,76,61,73,70,64,88,74,0
2041,Bowling Green,L.Lipscomb,FR,FS,76,86,86,86,82,67,71,0
2041,Bowling Green,D.Upshaw,FR (RS),WR,76,88,90,81,90,60,69,0
2041,Bowling Green,J.Ramsay,FR,WR,76,87,91,89,84,59,69,0
2041,Bowling Green,J.Teague,SO (RS),MIKE,76,81,85,80,76,70,67,0
2041,Bowling Green,C.Chancey,SO (RS),DT,76,70,78,70,59,88,72,0
2041,Bowling Green,A.Poljan,FR,LEDG,76,82,86,79,67,82,64,0
2041,Bowling Green,R.Hicks,FR,CB,76,89,93,88,90,60,72,0
2041,Bowling Green,D.Colon,SO (RS),DT,76,68,81,72,57,88,72,0
2041,Bowling Green,J.Worrilow,FR (RS),LG,76,60,75,75,55,94,66,0
2041,Bowling Green,P.Reddick,FR,CB,75,90,93,88,90,69,72,0
2041,Bowling Green,E.McCleod,FR (RS),SS,75,86,89,83,90,62,70,0
2041,Bowling Green,C.Randall,FR,WR,74,90,89,91,80,68,66,0
2041,Bowling Green,D.Barnes,SO (RS),RT,74,54,72,74,54,81,67,0
2041,Bowling Green,D.Countess,SO (RS),SS,73,87,86,86,92,73,65,0
2041,Bowling Green,K.Elias,SO (RS),MIKE,73,77,88,71,73,85,68,0
2041,Bowling Green,H.Shorter,FR (RS),TE,72,84,90,85,73,67,66,0
2041,Bowling Green,Z.Griggs,FR (RS),CB,72,87,93,90,86,60,73,0
2041,Bowling Green,K.Russ,FR,WR,71,86,88,80,78,72,68,0
2041,Bowling Green,I.Clapp,JR (RS),LG,71,67,82,72,48,88,59,0
2041,Bowling Green,P.Odeyingbo,SO (RS),SAM,71,80,85,82,79,80,65,0
2041,Bowling Green,K.Davis,FR (RS),TE,70,82,82,86,68,77,63,0
2041,Bowling Green,N.Wentz,FR (RS),HB,70,85,85,87,83,57,67,0
2041,Bowling Green,N.Avril,FR,TE,68,83,80,82,73,75,59,0
2041,Bowling Green,M.Scales,FR,QB,68,86,83,86,83,59,54,0
2041,Bowling Green,J.Merriman,FR,WR,64,84,91,84,80,61,47,0
2041,Florida,K.McCallister,JR (RS),HB,96,92,97,99,99,77,84,0
2041,Florida,I.John,SR,HB,93,85,91,87,83,88,91,0
2041,Florida,M.Moody,SR (RS),SAM,92,84,91,87,83,78,81,0
2041,Florida,R.Casey,SR (RS),MIKE,90,87,87,90,86,84,88,0
2041,Florida,J.Bryant,JR (RS),WILL,89,89,96,81,88,88,81,0
2041,Florida,O.Hacker,SR (RS),FS,88,89,90,86,88,68,85,0
2041,Florida,M.Cave,SO,LT,88,71,83,79,65,89,83,0
2041,Florida,A.Duck,SR (RS),P,87,82,77,73,49,31,84,0
2041,Florida,D.Stockton,JR (RS),CB,87,89,88,87,99,68,89,0
2041,Florida,J.Orakpo,JR (RS),WILL,87,83,92,82,85,84,77,0
2041,Florida,T.Scroggins,JR,HB,86,90,94,91,89,77,77,0
2041,Florida,M.Gregory,SR (RS),RG,85,64,72,93,73,95,75,0
2041,Florida,T.Mixon,SR (RS),REDG,85,76,78,78,58,82,76,0
2041,Florida,B.Lindsey,SR (RS),TE,85,83,85,80,87,75,74,0
2041,Florida,J.Quintero,JR (RS),LEDG,84,83,84,81,68,87,78,0
2041,Florida,C.Strnad,JR,MIKE,84,91,88,86,84,86,74,0
2041,Florida,J.Jasso,JR (RS),K,83,72,69,72,59,37,73,0
2041,Florida,A.Rashed,SO (RS),C,83,61,73,88,72,83,83,0
2041,Florida,D.Sheppard,JR,WR,83,87,91,90,81,71,79,0
2041,Florida,S.Kindred,JR (RS),WR,83,90,95,90,83,64,76,0
2041,Florida,T.Ebron,JR,DT,83,63,74,68,51,95,74,0
2041,Florida,C.Aboushi,JR (RS),HB,83,80,88,99,90,72,74,0
2041,Florida,L.Lowe,SO (RS),REDG,83,77,82,75,58,85,66,0
2041,Florida,J.Shakir,SO (RS),LEDG,83,79,85,82,64,89,77,0
2041,Florida,L.Rambo,SO (RS),P,83,74,70,75,61,34,82,0
2041,Florida,H.Carlyle,SR (RS),CB,83,88,90,91,92,57,73,0
2041,Florida,B.Gold,JR (RS),REDG,83,85,88,80,67,85,77,0
2041,Florida,D.Buechele,FR (RS),P,83,65,68,77,59,37,75,0
2041,Florida,R.Aquino,FR (RS),LEDG,83,74,83,61,75,92,70,1
2041,Florida,J.Kindred,SR (RS),MIKE,82,90,88,90,88,83,79,0
2041,Florida,G.Hawkins,JR,TE,82,85,79,81,70,82,76,0
2041,Florida,S.Ivie,FR (RS),LEDG,82,81,92,77,78,84,79,0
2041,Florida,T.Armstrong,JR (RS),WILL,82,89,88,80,77,83,81,0
2041,Florida,P.Iwuagwu,JR,DT,82,63,74,64,52,97,71,1
2041,Florida,S.Silva,FR,P,81,71,69,77,51,34,72,1
2041,Florida,M.Westfall,JR (RS),WILL,81,77,89,72,78,81,75,0
2041,Florida,M.Trewyn,JR (RS),CB,80,84,84,86,89,55,63,0
2041,Florida,J.Brownlee,FR,REDG,80,78,89,79,78,80,74,1
2041,Florida,K.Clemens,SO (RS),RT,80,65,78,73,53,88,85,0
2041,Florida,Z.Bequette,JR (RS),SAM,79,78,87,80,77,73,77,0
2041,Florida,E.Oruwariye,FR,WILL,79,87,85,80,77,80,71,1
2041,Florida,G.Randall,JR (RS),HB,79,85,88,86,82,71,69,0
2041,Florida,T.Mawae,SO (RS),CB,78,88,89,88,99,51,83,0
2041,Florida,A.Swinger,FR (RS),QB,78,73,73,78,79,60,77,0
2041,Florida,S.Kimble,SO (RS),HB,78,89,90,90,81,64,71,0
2041,Florida,T.Babineaux,SR (RS),MIKE,78,79,86,78,77,76,67,0
2041,Florida,K.Hamm,JR,DT,77,58,70,67,55,91,65,1
2041,Florida,F.Robbins,FR,CB,76,87,91,91,88,52,68,0
2041,Florida,C.Punga,JR (RS),QB,76,80,85,83,80,55,74,0
2041,Florida,L.Muma,FR,HB,75,92,92,83,86,65,65,0
2041,Florida,R.Peace,SO (RS),REDG,75,79,84,72,66,84,75,0
2041,Florida,K.Baity,FR,WR,75,89,88,83,84,72,71,0
2041,Florida,C.Stingley,SO (RS),RT,75,58,79,83,59,72,81,0
2041,Florida,G.Idonije,SO (RS),WR,75,90,90,95,87,69,70,0
2041,Florida,D.Pope,FR (RS),MIKE,75,88,85,86,80,75,64,0
2041,Florida,E.Geisinger,SO (RS),RG,74,59,75,76,63,78,77,0
2041,Florida,I.Duggan,SO,WR,74,85,91,94,88,74,68,0
2041,Florida,R.Colclough,JR,CB,74,85,90,88,87,54,76,0
2041,Florida,T.Gideon,FR,TE,74,80,84,77,81,77,64,0
2041,Florida,L.Ursua,SO (RS),SAM,73,82,84,82,83,75,70,0
2041,Florida,E.Tolbert,FR (RS),LG,73,60,70,71,61,79,75,1
2041,Florida,K.Redman,FR (RS),DT,73,66,80,60,56,90,58,1
2041,Florida,T.Amaro,FR,SS,72,94,90,88,87,57,69,0
2041,Florida,S.Fayad,FR,SAM,72,82,86,67,80,79,59,1
2041,Florida,S.LaRue,FR (RS),SAM,72,76,87,84,82,76,71,1
2041,Florida,J.Hoppes,FR,LEDG,72,80,86,72,80,84,60,1
2041,Florida,I.Eberle,SO (RS),WILL,72,82,87,78,76,70,71,0
2041,Florida,A.Ha,SR (RS),FS,71,85,83,79,82,54,73,0
2041,Florida,D.Ottis,FR,HB,71,87,85,82,83,57,64,1
2041,Florida,M.Dorris,JR (RS),LG,71,64,69,88,70,88,64,0
2041,Florida,J.Neuzil,JR,TE,71,84,79,84,74,80,65,1
2041,Florida,M.Nicholson,SO (RS),FS,70,90,84,86,87,49,59,0
2041,Florida,D.Meryl,SO (RS),SAM,70,76,85,81,75,71,73,0
2041,Florida,R.Yusaf,JR (RS),QB,70,72,74,74,75,58,67,0
2041,Florida,L.Seumalo,FR,QB,68,79,84,81,77,67,61,0
2041,Florida,V.Togiai,FR,LG,68,54,70,61,47,76,65,1
2041,Florida,J.Faulk,FR,CB,68,89,88,86,89,63,64,1
2041,Florida,N.Coons,JR (RS),LT,68,62,66,57,49,78,59,0
2041,Florida,B.Talbott,SO (RS),QB,68,79,84,84,88,63,62,0
2041,Florida,M.Cutting,FR (RS),WR,67,82,87,86,79,70,64,0
2041,Florida,T.Raimann,SO,WR,67,89,82,78,80,70,70,1
2041,Florida,B.Goodley,FR,LT,66,54,66,62,55,72,63,1
2041,Florida,D.Calcaterra,SR (RS),TE,66,80,84,82,74,66,66,0
2041,Florida,C.Stoneburner,SO,RG,65,66,69,60,37,91,61,1
2041,Florida,L.Bost,SO,SS,65,81,79,78,79,65,59,1
2041,Florida State,E.Weber,JR (RS),WILL,97,88,94,91,87,85,89,0
2041,Florida State,P.Day,SR (RS),FS,93,90,90,90,99,77,84,0
2041,Florida State,J.Nash,JR,WR,93,94,95,89,92,70,83,0
2041,Florida State,J.Sturm,SR,HB,92,92,93,93,89,82,91,0
2041,Florida State,D.Bickley,SR (RS),CB,92,91,89,84,99,65,88,0
2041,Florida State,J.Fe'esago,SO (RS),WR,92,93,91,94,95,63,81,0
2041,Florida State,G.Imatorbhebhe,SR (RS),SS,91,83,86,78,74,77,87,0
2041,Florida State,D.Finger,SR,RG,90,71,84,78,51,86,76,0
2041,Florida State,J.Casey,SR,DT,89,62,74,77,54,93,74,0
2041,Florida State,C.Irving,SR (RS),QB,88,92,87,94,91,70,87,0
2041,Florida State,D.Wicks,JR (RS),MIKE,88,88,89,89,82,82,73,0
2041,Florida State,F.Shavers,JR (RS),SAM,87,85,94,81,80,85,81,0
2041,Florida State,K.Hooks,SR (RS),DT,86,67,68,61,64,94,68,0
2041,Florida State,J.Sampson,JR,C,86,63,77,79,66,84,88,0
2041,Florida State,C.Fields,SO (RS),SAM,86,90,88,90,87,84,81,0
2041,Florida State,C.Akers,SR,TE,86,77,86,75,77,79,70,0
2041,Florida State,P.Reeshad,FR (RS),HB,86,85,92,92,88,76,76,0
2041,Florida State,T.Gaskin,JR (RS),DT,85,65,70,58,61,90,89,0
2041,Florida State,J.Curl,SR (RS),MIKE,84,79,88,85,84,85,79,0
2041,Florida State,O.Gumbs,FR (RS),MIKE,84,84,90,87,86,79,72,0
2041,Florida State,S.Winterswyk,FR,QB,83,87,90,86,93,60,72,0
2041,Florida State,B.Kinatukara,FR (RS),P,82,68,71,75,59,27,75,0
2041,Florida State,R.Etienne,JR (RS),HB,82,83,83,87,87,82,81,0
2041,Florida State,S.Battle,JR (RS),K,82,73,71,74,58,27,76,0
2041,Florida State,D.Kumerow,JR (RS),HB,82,81,83,82,82,86,71,0
2041,Florida State,K.Enunwa,SO,WR,81,88,82,87,83,63,84,0
2041,Florida State,D.Garza,SR,TE,80,83,85,87,69,77,68,0
2041,Florida State,A.Hooks,JR (RS),CB,80,93,94,90,92,63,72,0
2041,Florida State,G.Ruggs,JR (RS),REDG,80,66,70,62,59,87,69,0
2041,Florida State,I.McCracken,FR,WR,80,90,87,87,90,64,73,0
2041,Florida State,J.Sampson,SO,LEDG,80,82,85,78,68,86,72,0
2041,Florida State,Z.Emery,SO,CB,80,90,92,90,95,62,69,0
2041,Florida State,T.Crayton,JR (RS),HB,80,84,86,80,81,85,71,0
2041,Florida State,V.Lanier,JR (RS),REDG,79,62,77,63,54,81,71,0
2041,Florida State,E.Perkins,FR,REDG,79,77,79,69,62,83,68,0
2041,Florida State,G.Moncrief,FR,REDG,79,80,86,74,66,87,71,0
2041,Florida State,M.Brown,SO (RS),SS,78,87,89,79,86,50,70,0
2041,Florida State,S.Lopes,FR (RS),WILL,78,81,87,84,85,79,70,0
2041,Florida State,J.Sorenson,FR,FS,78,89,90,85,85,61,71,0
2041,Florida State,M.Bech,FR,FS,78,90,88,88,84,59,70,1
2041,Florida State,T.Streeter,FR,RG,78,70,77,65,49,84,65,1
2041,Florida State,T.Brownlee,FR,CB,78,88,90,88,85,52,68,1
2041,Florida State,S.Temple,FR,CB,78,93,92,88,91,67,70,1
2041,Florida State,L.Hendrickson,FR,MIKE,78,82,88,84,82,79,70,1
2041,Florida State,J.Small,JR (RS),CB,78,87,88,89,97,72,73,0
2041,Florida State,J.Fatukasi,FR (RS),SAM,77,75,88,84,76,80,73,0
2041,Florida State,M.Colman,FR,CB,77,94,93,90,88,68,69,1
2041,Florida State,L.Ballage,FR,FS,77,89,89,86,88,63,70,1
2041,Florida State,A.Nevis,SO (RS),LG,77,64,68,69,51,84,70,0
2041,Florida State,D.Gammon,SR (RS),LG,77,78,82,73,53,79,93,0
2041,Florida State,R.Isaacs,SO,TE,76,85,82,78,80,68,75,0
2041,Florida State,M.Melton,SR (RS),FS,74,85,86,84,95,65,61,0
2041,Florida State,M.Erwin,SO (RS),CB,74,94,95,89,91,62,71,0
2041,Florida State,T.Copper,SO (RS),QB,72,87,88,83,78,65,68,0
2041,Florida State,P.Hicks,SO (RS),WR,72,95,92,86,78,57,66,0
2041,Florida State,T.Pascoe,FR,RT,71,63,69,77,61,78,68,0
2041,Florida State,N.Suarez,FR (RS),MIKE,71,78,87,83,76,77,68,0
2041,Florida State,T.Randall,JR (RS),WR,71,83,82,74,78,69,77,0
2041,Florida State,Q.Urbik,SO (RS),RT,70,73,84,71,31,82,67,0
2041,Florida State,R.Shepley,SR (RS),FS,70,87,84,80,81,57,60,0
2041,Florida State,B.DuVall,FR (RS),CB,69,86,90,89,86,59,68,0
2041,Florida State,I.Jones,SO (RS),SS,68,84,80,78,75,45,65,0
2041,Florida State,G.Faggins,SO,WR,67,87,88,83,83,60,59,1
2041,Florida State,P.Doyle,JR (RS),CB,66,85,86,84,85,64,59,0
2041,Florida State,F.Emery,FR,WR,66,86,90,82,78,57,64,1
2041,Florida State,D.Kingsbury,FR,TE,65,82,85,81,75,67,67,1
2041,Florida State,O.Freeman,FR,C,64,57,64,68,54,74,63,0
2041,San Jose State,T.Perkins,JR (RS),LG,96,74,91,86,58,90,79,0
2041,San Jose State,A.Graves,SR (RS),WILL,88,82,87,80,75,85,84,0
2041,San Jose State,G.Edebali,SR (RS),WR,87,84,88,89,84,77,89,0
2041,San Jose State,D.Caplan,SR (RS),LT,87,69,84,78,47,99,76,0
2041,San Jose State,P.Edmond,SR (RS),WR,84,91,99,89,83,76,73,0
2041,San Jose State,K.Pierschbacher,JR (RS),K,84,70,68,72,59,32,74,0
2041,San Jose State,M.Shorter,SR (RS),QB,84,83,89,93,96,59,84,0
2041,San Jose State,M.Jones,SR (RS),FS,84,88,91,89,98,63,74,0
2041,San Jose State,J.Cameron,SR (RS),RG,84,58,80,88,74,99,69,0
2041,San Jose State,M.Chung,SR (RS),QB,82,83,91,86,79,60,76,0
2041,San Jose State,C.Carreon,SO (RS),RT,82,62,72,76,66,86,75,0
2041,San Jose State,K.Lechler,FR (RS),QB,81,81,86,90,87,57,75,0
2041,San Jose State,A.Wint,JR (RS),C,80,58,87,88,62,81,81,0
2041,San Jose State,M.Babineaux,SR,CB,79,89,90,85,98,53,77,0
2041,San Jose State,M.Carroo,SR (RS),MIKE,78,88,92,87,82,74,76,0
2041,San Jose State,E.Blough,SR,TE,78,70,76,69,69,78,80,0
2041,San Jose State,D.Kiel,JR (RS),P,78,69,71,75,56,30,69,0
2041,San Jose State,P.Moses,SO (RS),HB,78,81,85,83,81,75,75,0
2041,San Jose State,W.Wilds,SR (RS),LG,77,62,73,86,72,83,65,0
2041,San Jose State,C.Office,JR,TE,77,76,83,74,75,81,69,0
2041,San Jose State,Z.Erwin,SR (RS),WR,77,87,91,85,89,74,72,0
2041,San Jose State,R.McCracken,SR (RS),LEDG,77,65,69,70,68,80,73,0
2041,San Jose State,F.Johnston,JR,HB,77,90,91,86,82,56,74,0
2041,San Jose State,C.Ancrum,FR,WR,76,89,90,90,80,72,74,0
2041,San Jose State,V.Lord,JR (RS),REDG,76,75,88,80,62,80,76,0
2041,San Jose State,K.Egan,JR (RS),WR,75,88,89,94,86,69,63,0
2041,San Jose State,C.DeMorat,SR,CB,75,85,87,81,97,53,67,0
2041,San Jose State,M.Fine,SR (RS),RT,75,52,71,78,66,89,81,0
2041,San Jose State,T.Jefferson,SO (RS),WILL,75,76,85,65,74,75,66,0
2041,San Jose State,J.King,SO (RS),QB,73,77,77,84,82,62,78,0
2041,San Jose State,P.Thorne,SO,WILL,73,78,89,68,74,79,58,0
2041,San Jose State,S.Daniels,FR (RS),RG,73,60,68,62,43,82,65,0
2041,San Jose State,M.Salcedo,SO (RS),FS,73,85,84,80,87,64,63,0
2041,San Jose State,D.Verner,JR (RS),LEDG,72,71,79,76,63,79,75,0
2041,San Jose State,S.Malveaux,FR (RS),WR,72,82,82,85,79,60,63,0
2041,San Jose State,B.Abbott,FR (RS),LT,72,58,67,69,49,69,62,0
2041,San Jose State,R.Sharpe,FR,REDG,72,62,81,61,58,82,66,0
2041,San Jose State,A.Bourne,JR,CB,72,85,93,92,92,54,73,0
2041,San Jose State,I.Udoh,FR,SAM,72,78,85,81,82,67,71,0
2041,San Jose State,T.Mama,SO (RS),TE,71,80,84,85,78,75,72,0
2041,San Jose State,E.Lawrence,FR,WILL,71,80,85,78,75,71,69,1
2041,San Jose State,E.Slayton,FR,SS,70,89,85,86,86,53,65,0
2041,San Jose State,L.Wortham,JR (RS),C,70,82,83,74,62,92,66,0
2041,San Jose State,J.Choice,SR,FS,70,90,85,82,84,48,67,0
2041,San Jose State,M.Fatinikun,FR,MIKE,70,77,85,79,74,72,66,0
2041,San Jose State,D.Goodwell,SR,SS,70,85,85,84,81,50,70,0
2041,San Jose State,T.Parmele,FR (RS),TE,70,74,76,71,64,78,72,0
2041,San Jose State,M.Stanford,FR (RS),C,69,62,69,71,63,90,59,0
2041,San Jose State,M.Viera,FR,HB,69,87,90,87,82,62,63,0
2041,San Jose State,V.Manuwai,JR,SS,69,84,85,79,81,48,62,0
2041,San Jose State,W.Fricke,SO,LT,69,64,76,62,51,80,64,1
2041,San Jose State,C.Emanuel,SO,CB,69,88,94,89,87,55,72,0
2041,San Jose State,D.Emery,FR,HB,68,90,90,86,83,60,61,0
2041,San Jose State,R.Countess,FR,RT,68,66,79,71,52,85,61,1
2041,San Jose State,D.Brents,FR,SAM,68,73,88,82,82,78,69,0
2041,San Jose State,S.Cantrell,SO,LT,68,61,68,62,52,82,56,1
2041,San Jose State,J.Dickey,FR,MIKE,67,79,83,79,75,74,62,0
2041,San Jose State,C.Momah,FR,CB,67,87,91,89,87,59,61,0
2041,San Jose State,T.Rivers,FR,LT,67,55,70,70,46,73,64,0
2041,San Jose State,T.Tompkins,SO,DT,67,61,80,60,62,83,68,0
2041,San Jose State,C.Godwin,FR,QB,66,79,82,76,75,46,58,1
2041,San Jose State,T.Lee,FR (RS),CB,66,86,89,87,92,51,68,0
2041,San Jose State,C.Metzger,SO (RS),WR,66,88,93,79,85,60,70,0
2041,San Jose State,O.Mangold,FR (RS),CB,66,85,90,88,94,49,74,0
2041,San Jose State,J.Bolin,FR,RG,65,62,79,65,47,86,63,0
2041,San Jose State,C.Farris,FR (RS),WR,64,87,86,82,72,61,61,0
2041,San Jose State,R.Sexton,FR,REDG,64,62,72,56,54,78,55,1
2041,San Jose State,T.Bush,FR (RS),FS,64,84,85,78,81,51,64,0
2041,San Jose State,D.Moultrie,FR,SAM,63,75,80,82,78,70,63,1
2041,San Jose State,B.Kowalkowski,FR,CB,62,86,88,85,84,59,62,1
2041,San Jose State,C.Meredith,FR,RT,61,62,74,63,33,78,60,1
2041,San Jose State,D.Sproles,FR,REDG,60,61,78,55,55,75,49,1
2041,San Jose State,Q.Kamara,JR,SS,60,83,85,79,82,43,58,1
2041,San Jose State,S.Nicks,FR (RS),LEDG,60,56,62,61,54,73,64,1
2041,San Jose State,R.Goss,FR,QB,59,68,82,76,69,43,54,0
2041,Texas Tech,B.Henery,JR (RS),HB,98,93,96,98,95,84,82,0
2041,Texas Tech,B.Gaydosh,SO (RS),WR,90,93,91,87,86,74,91,0
2041,Texas Tech,R.Poole,SO (RS),QB,90,89,90,91,94,65,78,0
2041,Texas Tech,D.Graves,SR (RS),WR,89,91,93,94,95,74,79,0
2041,Texas Tech,D.Redman,JR (RS),LG,89,73,79,76,49,91,75,0
2041,Texas Tech,N.McCullough,SR (RS),TE,89,89,89,90,87,74,87,0
2041,Texas Tech,T.Dillard,SO (RS),HB,89,88,91,88,84,85,83,0
2041,Texas Tech,A.Rossouw,SO,MIKE,88,85,91,85,78,81,82,0
2041,Texas Tech,K.Alston,FR (RS),HB,88,87,92,92,87,78,80,0
2041,Texas Tech,M.Amaro,SO,WR,88,87,88,94,95,67,74,0
2041,Texas Tech,G.Robbins,SO (RS),SS,87,92,95,91,91,67,73,0
2041,Texas Tech,K.Johnson,JR (RS),LEDG,87,76,88,82,65,92,81,0
2041,Texas Tech,M.Williams,SO (RS),HB,86,91,94,99,87,66,75,0
2041,Texas Tech,W.Nicholson,SO (RS),QB,86,83,83,82,84,63,80,0
2041,Texas Tech,G.Sprinkle,FR (RS),MIKE,86,87,89,85,80,82,79,0
2041,Texas Tech,R.Woodside,SR (RS),RG,86,62,99,91,74,77,91,0
2041,Texas Tech,C.Funchess,JR (RS),QB,85,85,85,93,85,61,86,0
2041,Texas Tech,O.Tranquill,JR (RS),QB,85,80,82,95,99,70,80,0
2041,Texas Tech,Z.Tatum,SR (RS),SAM,84,79,89,86,79,73,81,0
2041,Texas Tech,S.Maples,SO (RS),WR,84,86,93,91,87,82,76,0
2041,Texas Tech,C.Best,FR (RS),CB,83,93,93,94,90,55,72,0
2041,Texas Tech,K.Cota,JR (RS),LT,83,65,77,84,70,91,83,0
2041,Texas Tech,J.Dugans,SO (RS),CB,82,90,93,89,97,60,79,0
2041,Texas Tech,J.Issac,FR (RS),C,82,73,82,75,52,92,69,0
2041,Texas Tech,D.Gainwell,JR (RS),RG,82,67,70,69,48,74,76,0
2041,Texas Tech,N.Goodin,JR,CB,82,92,95,92,92,66,76,0
2041,Texas Tech,N.Gammon,JR (RS),RT,81,66,74,84,70,90,82,0
2041,Texas Tech,D.Duke,FR (RS),HB,81,84,87,82,79,86,77,0
2041,Texas Tech,K.Toone,SR (RS),LG,81,58,68,92,82,82,80,0
2041,Texas Tech,O.Carmazzi,JR,K,81,73,72,76,57,39,76,0
2041,Texas Tech,B.Lawson,FR (RS),REDG,81,75,80,78,60,87,70,0
2041,Texas Tech,M.Scroggins,SR (RS),MIKE,80,75,91,73,80,82,77,0
2041,Texas Tech,R.Horner,FR (RS),WILL,80,81,89,76,77,84,74,0
2041,Texas Tech,E.Ahmad,SR (RS),RT,80,62,76,84,58,80,85,0
2041,Texas Tech,G.Ozougwu,SO,WR,80,92,89,85,82,72,78,0
2041,Texas Tech,M.Ghee,SR (RS),WR,80,93,97,93,82,66,76,0
