Team,Player,Pos,OVR,Age,SPD,STR,AGI,ACC,AWR,BTK,TRK,COD,BCV
Vikings,Christian Darrisaw,LT,90,26,73,92,67,73,92,8,33,54,15
Vikings,Brian O'Neill,RT,87,29,76,86,75,76,96,18,36,57,26
Vikings,Harrison Smith,FS,87,36,87,73,87,86,91,39,61,82,60
Vikings,Jonathan Greenard,LEDG,85,28,86,81,82,88,89,24,32,73,48
Vikings,Byron Murphy Jr.,CB,84,27,92,60,89,93,86,56,30,92,67
Vikings,Jordan Addison,WR,84,23,90,52,88,92,89,74,30,91,89
Vikings,Andrew Van Ginkel,REDG,83,30,87,74,82,88,92,12,51,73,46
Vikings,T.J. Hockenson,TE,83,28,83,80,82,86,87,71,68,79,80
Vikings,Josh Metellus,SS,82,27,89,66,83,88,83,44,25,80,53
Vikings,Will Reichard,K,82,24,78,42,64,79,68,15,20,54,25
Vikings,Andrew DePaola,LS,81,38,75,75,80,72,70,19,31,71,25
Vikings,Blake Cashman,WILL,81,29,88,70,83,90,82,12,25,76,20
Vikings,Jordan Mason,HB,81,26,89,78,77,92,84,86,87,75,90
Vikings,Aaron Jones Sr.,HB,80,30,89,71,91,92,80,80,83,88,88
Vikings,Isaiah Rodgers Sr.,CB,80,27,95,50,88,94,80,49,34,88,75
Vikings,Javon Hargrave,DT,80,32,75,87,67,78,86,10,29,53,18
Vikings,Dallas Turner,REDG,77,22,90,76,84,92,67,29,35,69,32
Vikings,Ivan Pace Jr.,WILL,77,24,85,72,78,83,77,31,44,73,48
Vikings,Josh Nailor,WR,77,26,91,58,87,94,79,69,28,85,79
Vikings,Rondale Moore,WR,76,25,93,66,92,91,66,79,52,90,90
Vikings,C.J. Ham,FB,75,32,83,77,77,84,74,63,79,72,75
Vikings,Donovan Jackson,LG,75,22,67,90,62,72,76,8,12,53,12
Vikings,Eric Wilson,MIKE,75,30,87,75,82,88,78,37,41,72,54
Vikings,Ryan Wright,P,75,25,81,62,64,84,61,29,36,58,35
Vikings,Ty Chandler,HB,73,27,93,65,81,95,76,77,76,79,80
Vikings,J.J. McCarthy,QB,71,22,85,68,88,88,59,67,56,83,81
Vikings,Jeff Okudah,CB,71,26,90,66,88,89,69,54,33,85,65
Vikings,Jeff Thomas,FS,71,29,90,55,79,90,75,56,32,78,59
Vikings,Tai Felton,WR,71,22,93,59,84,93,62,73,52,85,83
Vikings,Ty Jackson,FS,70,26,90,58,76,92,73,45,44,81,53
Vikings,Zavier Scott,HB,70,26,89,74,84,92,69,76,67,86,78
Vikings,Tyrion Ingram-Dawkins,LEDG,67,22,77,83,75,86,65,41,57,70,54
Vikings,Tyler Batty,LEDG,63,26,80,83,77,81,52,21,29,65,30
Vikings,Brett Rypien,QB,57,29,76,52,76,78,62,38,29,76,59
Bears,Joe Thuney,LG,96,32,73,90,68,76,99,8,31,57,18
Bears,Jaylon Johnson,CB,90,26,90,67,86,91,96,60,40,92,68
Bears,Darnell Wright,RT,87,24,72,96,56,75,92,27,32,51,35
Bears,Jaquan Brisker,SS,86,26,89,68,86,91,88,58,44,84,69
Bears,D'Andre Swift,HB,85,26,90,68,89,91,92,83,75,88,87
Bears,Caleb Williams,QB,85,23,91,65,85,93,81,69,54,82,86
Bears,DJ Moore,WR,85,28,91,66,93,92,83,86,70,88,96
Bears,Kevin Byard III,FS,84,32,88,73,87,87,87,59,52,83,67
Bears,Colston Loveland,TE,84,21,86,78,82,90,85,70,70,72,75
Bears,Kyler Gordon,CB,82,25,88,66,93,92,88,55,35,92,61
Bears,Drew Dalman,C,82,26,70,87,68,75,83,5,25,53,10
Bears,Montez Sweat,LEDG,82,28,88,80,82,90,75,31,51,71,48
Bears,Rome Odunze,WR,82,23,91,65,87,94,86,77,47,89,84
Bears,Tremaine Edmunds,WILL,82,27,86,75,85,86,88,29,28,78,40
Bears,T.J. Edwards,MIKE,81,29,85,72,81,84,84,31,47,75,35
Bears,Grady Jarrett,DT,81,32,72,89,68,76,85,10,20,59,15
Bears,Gervon Dexter Sr,DT,79,23,76,85,67,80,85,24,44,57,35
Bears,Luther Burden III,WR,79,21,92,69,93,92,77,78,61,93,88
Bears,Kyle Monangai,HB,78,23,86,77,81,88,78,83,92,78,85
Bears,Cairo Santos,K,78,33,72,33,66,74,65,15,10,51,10
Bears,Jonah Jackson,RG,78,28,68,86,57,65,90,5,25,46,10
Bears,Cole Kmet,TE,78,26,85,76,73,85,78,60,75,71,71
Bears,Tyrique Stevenson,CB,76,25,91,60,82,95,70,49,39,79,63
Bears,Nate Wright,CB,75,27,89,54,81,85,84,60,40,76,70
Bears,C.J. Gardner-Johnson,SS,75,27,90,68,84,90,77,53,38,85,68
Bears,Tory Taylor,P,75,28,81,61,65,83,59,10,25,55,31
Bears,Joe Tryon-Shoyinka,LEDG,74,26,82,81,81,85,71,39,49,70,51
Bears,Devin Duvernay,WR,74,27,93,68,86,92,73,79,70,83,85
Bears,Braxton Jones,LT,73,26,73,88,65,81,82,15,25,56,15
Bears,Dayo Odeyingbo,REDG,73,25,80,84,79,84,71,28,36,65,44
Bears,Olamide Zaccheaus,WR,73,28,90,54,85,89,77,75,35,85,79
Bears,Andrew Billings,DT,73,30,70,89,62,68,75,17,43,51,28
Bears,Ozzy Trapilo,LT,73,23,65,87,61,74,74,6,29,57,10
Bears,Austin Booker,LEDG,73,22,79,76,74,83,78,29,36,69,47
Bears,Shamar Turner,DT,72,22,80,88,72,85,75,29,39,62,34
Bears,Jonathan Owens,SS,72,30,91,66,83,91,72,47,41,85,62
Bears,Roschon Johnson,HB,71,24,86,78,82,89,77,80,81,81,83
Bears,D'Marco Jackson,WILL,71,27,87,69,77,92,68,51,54,75,64
Bears,Nick McCloud,CB,71,27,90,58,88,92,71,43,34,85,55
Bears,Durham Smythe,TE,71,30,81,75,75,83,77,62,71,73,63
Bears,Jaylon Jones,CB,70,27,92,63,91,93,65,45,32,90,61
Bears,Joshua Reeves-Maybin,WILL,70,30,86,70,74,84,76,17,24,72,36
Bears,Ryan Bates,C,70,28,67,86,67,78,75,11,30,55,12
Bears,Zyon Frazier,CB,70,24,94,56,82,96,65,42,23,84,62
Bears,Terell Smith,CB,69,26,92,63,83,95,64,67,48,81,70
Bears,Dominique Robinson,REDG,69,27,80,79,76,87,64,46,50,72,54
Bears,Travis Homer,HB,69,27,91,62,81,93,73,74,72,83,76
Bears,Jamari Walker,WR,69,23,91,60,92,91,62,74,46,87,77
Bears,Kiran Amegadjie,RG,69,23,70,88,69,74,69,20,40,55,30
Bears,Noah Sewell,SAM,68,23,82,80,74,89,63,63,65,73,72
Bears,Demarcus Hardy,REDG,68,26,83,71,89,90,61,29,35,74,32
Bears,Elijah Hicks,FS,68,25,88,58,77,90,70,52,39,75,66
Bears,Ruben Hyppolite II,MIKE,67,23,88,68,84,91,70,41,43,76,53
Bears,Theo Benedet,LT,67,23,68,83,61,73,70,9,21,54,10
Bears,Jordan McFadden,RG,66,25,73,82,61,76,73,8,20,54,13
Bears,Logan Newman,LG,66,23,70,87,61,74,69,14,29,61,15
Bears,Josh Blackwell,CB,65,26,94,53,91,92,56,55,30,84,64
Bears,Chris Williams,DT,64,27,67,84,58,73,60,19,38,47,19
Bears,Case Keenum,QB,63,37,77,54,72,72,63,54,36,71,65
Bears,Tyson Bagent,QB,59,25,79,59,85,86,60,39,26,77,62
Bears,Amen Ogbongbemiga,WILL,59,26,83,68,73,86,58,32,45,73,37
Bears,Scott Daly,LS,57,31,71,72,64,71,51,15,34,62,27
Bengals,Ja'Marr Chase,WR,99,25,95,73,92,94,99,88,71,97,98
Bengals,Joe Burrow,QB,96,28,84,68,83,86,98,69,57,79,86
Bengals,Trey Hendrickson,REDG,90,30,84,83,83,87,91,28,43,68,45
Bengals,Tee Higgins,WR,88,26,91,71,85,88,94,78,62,82,83
Bengals,DJ Turner II,CB,83,24,96,43,92,97,77,60,28,93,65
Bengals,Chase Brown,HB,82,25,93,69,86,95,83,81,76,88,83
Bengals,Cam Taylor-Britt,CB,81,25,93,64,86,93,82,52,33,85,60
Bengals,Evan McPherson,K,81,26,75,37,63,81,65,5,10,56,14
Bengals,Geno Stone,FS,79,26,87,58,86,89,85,49,48,84,65
Bengals,Dax Hill,CB,78,24,93,56,96,94,74,55,45,92,65
Bengals,Mike Gesicki,TE,77,29,84,76,87,87,70,70,76,74,79
Bengals,Jordan Battle,SS,76,24,88,63,77,92,79,70,47,79,81
Bengals,Ted Karras,C,76,32,69,86,52,61,79,6,25,42,10
Bengals,Amarius Mims,RT,76,22,70,91,70,73,80,30,50,65,45
Bengals,B.J. Hill,DT,76,29,73,88,71,76,72,23,41,60,24
Bengals,Orlando Brown Jr,LT,76,29,59,94,58,57,86,14,39,41,15
Bengals,Samaje Perine,HB,76,29,86,84,80,91,76,78,84,77,79
Bengals,Ryan Rehkow,P,75,26,68,53,67,71,56,10,10,53,10
Bengals,Joseph Ossai,REDG,74,25,84,80,80,90,70,25,39,65,42
Bengals,Dalton Risner,RG,74,30,69,86,61,63,81,10,27,58,20
Bengals,Shemar Stewart,LEDG,74,21,86,87,86,91,71,30,34,74,31
Bengals,Kris Jenkins Jr,DT,74,23,75,87,67,80,68,35,50,55,40
Bengals,Joe Flacco,QB,73,40,75,66,68,71,75,40,40,62,60
Bengals,Myles Murphy,LEDG,73,23,88,82,77,90,67,25,42,74,45
Bengals,Andrei Iosivas,WR,73,25,92,67,89,91,76,76,50,87,81
Bengals,Noah Fant,TE,73,27,87,72,87,91,67,67,64,76,80
Bengals,Devin Knight Jr,WILL,73,25,86,72,80,87,75,37,43,75,51
Bengals,Dylan Fairchild,LG,72,22,71,86,60,78,75,18,26,54,17
Bengals,Lucas Patrick,LG,72,32,70,84,59,81,72,8,31,51,18
Bengals,Mitchell Tinsley,WR,71,25,86,60,91,89,75,68,53,87,80
Bengals,Cameron Sample,LEDG,71,25,77,78,70,81,70,15,25,65,25
Bengals,Tahj Brooks,HB,71,23,88,68,87,92,66,81,73,85,79
Bengals,Josh Newton,CB,71,24,89,61,85,90,68,65,33,89,74
Bengals,Isaiah Foskey,REDG,70,24,86,76,74,90,66,42,52,69,53
Bengals,Charlie Jones,WR,70,26,90,56,88,89,62,70,40,89,78
Bengals,Tedarrell Slaton,DT,70,27,69,87,58,77,65,14,35,54,16
Bengals,Jay Toia,DT,69,23,69,91,67,72,60,14,35,50,16
Bengals,Cedric Johnson,REDG,69,22,85,79,69,89,68,20,32,66,26
Bengals,McKinnley Jackson,DT,69,23,64,84,55,72,71,41,25,51,40
Bengals,Oren Burks,WILL,69,30,87,72,84,86,73,21,42,74,41
Bengals,Marco Wilson,CB,69,26,91,66,87,92,70,44,31,88,53
Bengals,Barrett Carter,MIKE,69,22,85,72,76,90,71,43,47,76,57
Bengals,Cody Ford,RT,68,28,67,87,55,66,70,35,38,52,44
Bengals,Drew Sample,TE,68,29,82,73,77,84,67,46,63,72,69
Bengals,Erick All Jr,TE,68,24,86,72,83,87,61,66,66,74,74
Bengals,Tanner Hudson,TE,68,30,82,70,77,85,74,53,69,69,63
Bengals,D.J. Ivey,CB,67,25,90,54,83,90,61,50,35,87,65
Bengals,Jake Browning,QB,67,29,79,57,76,82,72,41,33,73,62
Bengals,Jalen Rivers,RG,67,22,63,83,56,65,67,12,32,49,13
Bengals,Jalen Davis,CB,67,29,88,53,81,88,69,52,25,77,72
Bengals,Brian Asamoah II,MIKE,66,25,87,71,83,92,67,28,40,75,39
Bengals,Anthony D.,SS,66,24,88,56,87,92,59,62,54,88,64
Bengals,Kendric Williams,WR,66,23,89,53,84,90,61,72,40,86,76
Bengals,Tycen Anderson,SS,65,26,92,59,92,95,60,49,39,82,64
Bengals,Jordan Giles-Harris,SAM,64,28,83,69,79,81,60,37,43,66,41
Bengals,P.J. Jules,FS,63,27,89,65,78,92,60,46,35,81,63
Bengals,William Wagner,LS,63,24,73,71,66,75,54,15,34,62,27
Bengals,Matt Lee,C,62,24,71,82,53,74,70,8,20,55,10
Bengals,Christian Grandy,TE,61,24,76,77,72,84,53,68,69,67,76
Cardinals,Trey McBride,TE,97,25,87,76,84,90,98,80,71,79,88
Cardinals,Budda Baker,SS,90,29,90,72,90,91,91,57,36,89,76
Cardinals,Paris Johnson Jr,LT,85,24,73,89,75,80,85,15,25,58,15
Cardinals,Josh Sweat,REDG,85,28,85,81,83,89,88,25,27,70,35
Cardinals,Hjalte Froholdt,C,84,29,71,91,66,66,87,14,28,55,21
Cardinals,Jalen Thompson,FS,83,27,90,60,83,93,85,44,37,84,51
Cardinals,James Conner,HB,83,30,89,83,81,87,84,89,89,79,88
Cardinals,Calais Campbell,DT,82,39,72,89,73,72,83,16,41,60,20
Cardinals,Michael Wilson,WR,81,25,89,72,89,90,83,77,64,85,79
Cardinals,Marvin Harrison Jr,WR,80,23,93,57,91,93,80,74,39,93,87
Cardinals,Mack Wilson Sr,WILL,79,27,87,79,80,87,88,33,36,72,52
Cardinals,Garrett Williams,CB,78,24,88,63,90,90,80,67,35,90,65
Cardinals,Sean Murphy-Bunting,CB,78,28,91,59,88,92,82,62,37,88,72
Cardinals,Walter Nolen,DT,78,21,81,87,81,88,75,27,31,71,35
Cardinals,Will Johnson,CB,77,22,89,62,86,90,84,59,41,83,79
Cardinals,Trey Benson,HB,77,23,93,77,85,94,67,82,79,86,79
Cardinals,Zaven Collins,LEDG,76,26,85,76,82,86,74,31,52,74,49
Cardinals,Chad Ryland,K,75,25,73,40,60,74,61,9,10,55,10
Cardinals,Kyler Murray,QB,75,28,90,59,90,91,53,74,25,88,94
Cardinals,Jacoby Brissett,QB,75,32,79,73,77,75,73,70,63,71,80
Cardinals,Dalvin Tomlinson,DT,75,31,70,89,59,66,82,19,37,49,33
Cardinals,Zay Jones,WR,75,30,89,76,86,92,75,77,68,86,82
Cardinals,Kevin Clark,CB,74,24,92,51,90,95,74,77,25,87,80
Cardinals,Browning,LEDG,74,26,86,75,85,91,71,31,37,74,40
Cardinals,Blake Gillikin,P,74,27,73,49,63,76,54,10,12,53,22
Cardinals,Greg Dortch,WR,74,27,90,43,87,90,77,70,35,89,84
Cardinals,Max Melton,CB,74,23,93,60,85,94,69,65,30,85,68
Cardinals,Bilal Nichols,DT,74,28,73,87,65,75,74,22,54,58,46
Cardinals,Starling Thomas V,CB,73,25,93,56,82,90,73,62,33,82,70
Cardinals,J. Williams,RT,73,27,69,85,66,71,87,15,35,54,30
Cardinals,J. Burch,REDG,73,23,83,81,81,85,72,32,32,72,43
Cardinals,Elijah Brown,LG,73,28,69,90,54,65,79,8,20,52,13
Cardinals,Matt Haack,P,73,31,81,52,64,80,60,14,18,52,25
Cardinals,B.J. Ojulari,LEDG,72,23,86,75,84,91,61,13,26,73,24
Cardinals,Akeem Davis-Gaither,MIKE,72,27,87,70,85,91,73,38,54,78,52
Cardinals,J. Karty,K,72,23,75,45,64,80,55,14,12,56,23
Cardinals,Dadrion Taylor-Demerson,FS,72,24,92,57,85,93,67,74,54,86,79
Cardinals,Kelvin Beachum,LT,72,36,63,87,57,61,88,12,24,44,15
Cardinals,Will Hernandez,RG,71,29,68,90,60,69,70,17,34,53,12
Cardinals,Elijah Jones,CB,71,25,91,48,82,93,61,65,33,86,70
Cardinals,Darius Stills,DT,71,25,76,80,71,83,74,22,35,60,25
Cardinals,Michael Carter,HB,71,26,87,66,88,85,64,79,80,90,80
Cardinals,Emari Demercado,HB,70,26,91,65,83,91,70,76,76,84,78
Cardinals,Bam Knight,HB,70,24,88,69,85,89,71,81,77,87,76
Cardinals,C. Simon,WILL,70,23,87,73,77,93,71,38,43,74,53
Cardinals,Darius Robinson,DT,70,23,74,87,77,77,71,23,16,58,24
Cardinals,Isaiah Adams,RG,70,25,65,86,59,70,69,35,42,56,33
Cardinals,Pharaoh Brown,TE,69,31,80,75,73,77,64,66,62,66,70
Cardinals,Elijah Higgins,TE,68,24,89,69,81,90,66,68,55,76,79
Cardinals,L.J. Collier,DT,68,29,77,83,64,76,71,20,32,56,26
Cardinals,J. Brooks,WR,67,25,86,61,80,90,72,73,47,81,77
Cardinals,Owen Pappoe,MIKE,67,24,89,77,77,92,65,45,42,74,58
Cardinals,Simi Fehoko,WR,67,27,90,66,88,89,69,70,44,80,76
Cardinals,C. Kiner,HB,67,23,88,73,82,89,66,80,80,79,81
Cardinals,Christian Jones,RT,67,25,71,84,54,72,65,15,29,56,10
Cardinals,Jon Gaines II,C,66,25,72,77,72,85,71,10,30,64,25
Cardinals,Kitan Crawford,FS,66,23,92,64,83,90,62,51,44,86,66
Cardinals,Xavier Weaver,WR,66,24,91,56,83,94,58,76,50,85,82
Cardinals,D. Jacobs,LT,66,26,67,83,67,70,72,5,21,56,10
Cardinals,P.J. Mustipher,DT,65,26,59,79,52,67,68,14,45,46,25
Cardinals,Josiah Deguara,TE,65,28,85,78,77,84,61,55,63,73,70
Cardinals,Hayden Conner,LG,65,23,65,86,63,75,65,35,35,57,33
Cardinals,Kalen King,CB,65,22,87,47,87,91,66,61,36,90,65
Cardinals,Tip Reiman,TE,65,23,84,77,82,88,50,67,66,75,69
Cardinals,J. Blount,SS,64,26,92,65,87,94,62,74,64,80,79
Cardinals,Jonah Fryar,RT,63,23,70,86,61,78,58,13,22,56,12
Cardinals,J.J. Russell,MIKE,62,26,82,73,75,87,60,55,51,69,64
Cardinals,Aaron Brewer,LS,62,35,73,68,69,72,60,20,50,63,39
Cardinals,A. Keys,MIKE,62,23,85,71,70,86,62,42,45,72,44
Cardinals,Travis Vokolek,TE,61,27,77,76,76,79,63,52,64,72,67
Cardinals,Andre Baccellia,WR,61,28,94,51,86,95,55,58,29,88,75
Cardinals,Kedon Slovis,QB,57,24,81,66,78,85,52,65,46,78,69
Falcons,Bijan Robinson,HB,95,23,91,81,92,92,90,93,84,95,92
Falcons,Jessie Bates III,FS,94,28,90,59,88,91,96,48,41,84,77
Falcons,Chris Lindstrom,RG,93,28,76,92,68,80,97,8,31,58,14
Falcons,Drake London,WR,92,24,88,77,88,92,94,83,76,88,84
Falcons,Jake Matthews,LT,89,33,71,86,67,72,93,23,37,56,28
Falcons,A.J. Terrell Jr,CB,88,26,91,60,89,91,91,58,35,90,67
Falcons,Kaden Elliss,MIKE,84,30,86,75,85,87,90,33,38,75,49
Falcons,Divine Deablo,WILL,81,27,88,69,83,86,83,56,48,74,66
Falcons,Tyler Allgeier,HB,80,25,86,80,83,89,78,90,86,79,84
Falcons,Ryan Neuzil,C,80,28,69,85,68,72,85,45,47,58,51
Falcons,Kyle Pitts Sr,TE,80,24,90,71,80,93,78,63,70,78,81
Falcons,Kaleb McGary,RT,80,30,73,87,61,74,91,35,34,51,30
Falcons,David Onyemata,DT,79,32,73,89,69,78,77,10,26,55,13
Falcons,Xavier Watts,SS,79,23,86,62,82,88,81,59,52,82,70
Falcons,Jalon Walker,LEDG,79,21,86,80,85,92,73,30,29,76,47
Falcons,James Pearce Jr,REDG,79,21,90,76,76,92,85,31,35,68,44
Falcons,Leonard Floyd,REDG,78,32,85,76,83,86,83,21,27,69,41
Falcons,Arnold Ebiketie,LEDG,77,26,84,76,85,87,72,14,24,74,21
Falcons,Darnell Mooney,WR,77,27,92,58,83,92,77,76,35,86,84
Falcons,Bradley Pinion,P,77,31,71,53,57,64,67,9,15,48,15
Falcons,Matthew Bergeron,LG,76,25,63,89,71,75,78,9,29,59,17
Falcons,Mike Hughes,CB,76,28,88,66,90,90,77,63,44,87,73
Falcons,Clark Phillips III,CB,75,23,89,60,89,94,74,65,30,90,76
Falcons,Z. Gonzalez,K,74,30,72,45,55,76,57,18,24,50,25
Falcons,Billy Bowman Jr,CB,73,22,92,61,89,92,70,54,46,88,66
Falcons,Ruke Orhorhoro,DT,73,23,76,90,71,83,64,16,33,64,36
Falcons,Brandon Dorlus,DT,73,24,77,84,70,82,73,12,38,52,28
Falcons,Mike Ford Jr,CB,73,30,89,58,92,92,71,55,32,87,68
Falcons,Kirk Cousins,QB,73,37,69,52,69,68,76,48,28,67,58
Falcons,Z. Harrison,DT,73,24,83,81,73,87,74,34,45,61,46
Falcons,Dee Alford,CB,73,27,89,49,85,90,74,67,33,84,78
Falcons,Michael Penix Jr,QB,72,25,84,57,78,89,70,50,29,73,72
Falcons,Troy Andersen,WILL,71,26,91,68,87,93,76,71,63,85,76
Falcons,Bralen Trice,REDG,71,24,82,76,77,85,70,16,35,68,32
Falcons,KhaDarel Hodge,WR,71,30,90,60,83,88,76,73,40,80,74
Falcons,Kentavius Street,DT,71,29,77,89,72,80,69,26,42,57,41
Falcons,R. Harrison Jr,WILL,71,28,86,72,81,88,70,44,52,79,63
Falcons,Elijah Wilkinson,RT,71,30,70,85,60,56,79,10,33,45,24
Falcons,C.J. Henderson,CB,70,26,91,64,88,91,72,51,31,88,60
Falcons,DeMarcco Hellams,FS,69,25,87,70,76,92,69,67,52,74,74
Falcons,LaCale London,DT,69,28,72,83,66,77,69,15,26,51,22
Falcons,Darian Sills V,WR,69,29,87,60,84,89,74,70,46,80,74
Falcons,J.D. Bertrand,SAM,69,25,83,70,75,87,70,27,56,74,51
Falcons,J. Robinson,SS,68,24,86,67,87,93,66,67,39,81,72
Falcons,S. Roberts,DT,68,27,69,85,57,75,71,16,40,49,27
Falcons,K. Kareem,REDG,67,27,79,84,71,82,65,13,29,60,22
Falcons,N. Carter,HB,67,23,91,74,79,89,68,77,78,85,76
Falcons,M. Heath,WR,66,25,87,64,85,91,66,72,58,79,77
Falcons,Casey Washington,WR,66,24,90,60,79,90,68,65,42,82,75
Falcons,D. Thompkins,WR,65,25,94,48,86,93,62,60,25,89,82
Falcons,E. Garcia,DT,65,26,72,83,70,74,55,23,26,60,19
Falcons,Charlie Woerner,TE,65,27,82,77,76,83,72,54,66,68,63
Falcons,C. Bryant,CB,65,23,88,62,79,92,60,50,27,83,62
Falcons,M. Jerrell,RT,65,26,74,82,53,81,53,13,25,54,13
Falcons,Jovaughn Gwyn,C,64,26,68,89,57,77,71,7,17,54,10
Falcons,Liam McCullough,LS,64,28,76,64,63,79,55,27,38,54,29
Falcons,Kyle Hinton,RG,63,27,75,87,60,76,63,5,15,55,10
Falcons,Teagan Quitoriano,TE,63,25,74,78,73,74,57,61,67,66,64
Falcons,Jalen Nelson,LT,63,23,67,84,64,71,66,6,27,53,17
Falcons,Josh Woods,WILL,63,29,84,64,78,84,73,24,26,69,35
Falcons,Storm Norton,LT,63,31,65,82,67,71,79,8,33,53,14
Falcons,Natrone Brooks,CB,63,25,88,50,82,90,66,51,30,79,64
Falcons,Dewayne Malone,MIKE,62,26,87,72,82,90,67,22,32,74,30
Falcons,Easton Stick,QB,62,28,85,65,90,86,65,68,55,85,77
Falcons,Feleipe Franks,TE,54,27,84,65,78,84,62,59,49,78,73
Ravens,Derrick Henry,HB,94,31,93,87,83,87,95,92,92,78,97
Ravens,Lamar Jackson,QB,94,28,96,63,94,95,91,82,39,95,98
Ravens,Kyle Hamilton,SS,93,24,88,72,87,91,92,57,55,79,70
Ravens,Roquan Smith,MIKE,93,28,86,80,87,89,91,36,39,82,41
Ravens,Nnamdi Madubuike,DT,92,27,81,95,74,83,90,10,34,64,17
Ravens,Mark Andrews,TE,91,29,87,81,79,90,93,73,73,75,86
Ravens,Zay Flowers,WR,88,24,93,55,93,92,90,80,38,92,93
Ravens,Tyler Linderbaum,C,87,25,77,85,69,82,90,18,25,59,20
Ravens,Marlon Humphrey,CB,87,29,91,74,85,92,93,56,29,88,68
Ravens,Ronnie Stanley,LT,86,31,71,92,68,67,97,8,27,56,15
Ravens,Nate Wiggins,CB,83,22,96,49,92,95,75,71,21,90,79
Ravens,Chidobe Awuzie,CB,83,30,90,69,86,93,86,54,32,85,67
Ravens,Patrick Ricard,FB,82,31,71,88,72,75,81,56,68,61,64
Ravens,Ar'Darius Washington,FS,78,25,84,57,81,87,83,50,30,84,67
Ravens,Roger Rosengarten,RT,78,23,75,82,69,77,83,25,25,61,10
