DraftYear,DraftRank,Player,CollegeTeam,Pos,PosBucket,Class,OVR,SPD,ACC,AGI,COD,STR,AWR,DraftValueScore,DraftRound
2042,99,B.Merriman,Rapid City,TE,TE,SR (RS),93,78,81,72,77,80,77,93.16,4
2042,100,D.Levine,Arizona State,WR,WR,SR,92,95,99,98,92,68,93,103.56,4
2042,101,J.Whiting,Oklahoma,CB,CB,SR,92,98,99,98,99,77,83,103.16,4
2042,102,L.Brown,Kentucky,WR,WR,SR (RS),92,89,95,95,96,85,90,102.46,4
2042,103,C.Popek,Oregon,WR,WR,SR (RS),92,95,95,99,92,93,86,102.38,4
2042,104,K.Oluokun,Ole Miss,CB,CB,SR (RS),92,85,92,86,99,56,95,102.34,4
2042,105,S.Ha,Eastern Michigan,WR,WR,SR,92,90,94,93,92,76,85,102.32,4
2042,106,T.Kahn,Wisconsin,WR,WR,SR (RS),92,94,96,91,84,63,85,101.66,4
2042,107,E.Najvar,Rice,WR,WR,SR (RS),92,81,86,91,93,75,91,101.58,4
2042,108,J.Arcuri,West Virginia,WR,WR,SR (RS),92,91,91,92,93,71,78,101.18,4
2042,109,A.Odrick,Oklahoma,REDG,EDGE,SR,92,87,89,77,71,95,83,100.54,4
2042,110,E.Gruttadauria,Alabaster,REDG,EDGE,SR (RS),92,91,85,88,67,87,89,100.24,4
2042,111,J.Shipp,Notre Dame,REDG,EDGE,SR (RS),92,73,87,77,65,93,84,99.98,4
2042,112,L.Carnegie,Michigan,QB,QB,SR (RS),92,90,91,85,89,54,77,99.92,4
2042,113,C.Boykin,USC,REDG,EDGE,SR (RS),92,82,87,97,65,80,88,99.89,4
2042,114,M.Awasom,Alabama,RT,OL,SR (RS),92,64,95,90,79,86,97,99.66,4
2042,115,J.Sims,Oklahoma State,REDG,EDGE,SR (RS),92,79,86,76,74,89,83,99.63,4
2042,116,B.Hagg,Penn State,LG,OL,SR (RS),92,67,93,99,83,92,86,98.46,4
2042,117,N.Garnes,North Carolina,LT,OL,SR (RS),92,64,85,90,75,85,91,98.4,4
2042,118,D.Duarte,Clemson,HB,RB,SR (RS),92,97,96,93,91,79,86,98.22,4
2042,119,M.Merriman,Houston,HB,RB,SR,92,88,88,95,94,86,85,98.16,4
2042,120,J.Ingram,Notre Dame,RG,OL,SR (RS),92,68,83,90,80,99,84,98.07,4
2042,121,B.Tiffin,Alabaster,DT,IDL,SR,92,79,87,72,73,99,84,97.75,4
2042,122,W.Crumpler,Michigan,C,OL,SR (RS),92,62,79,88,78,87,87,97.72,4
2042,123,O.Potts,USC,LT,OL,SR (RS),92,62,87,81,72,88,83,97.63,4
2042,124,M.Brown,Oklahoma State,HB,RB,SR,92,88,93,88,80,91,84,97.44,4
2042,125,T.Richey,Arizona State,MIKE,LB,SR,92,87,94,80,82,87,91,97.4,4
2042,126,D.Howard,Miami,RT,OL,SR (RS),92,66,74,86,76,93,82,97.14,4
2042,127,D.Newcomb,Alabaster,DT,IDL,SR (RS),92,69,84,65,75,90,86,96.96,4
2042,128,G.Odeyingbo,SMU,RG,OL,SR,92,70,67,77,41,76,84,96.8,4
2042,129,L.Workman,Panama City,C,OL,SR (RS),92,77,84,87,55,90,76,96.7,5
2042,130,A.Paul,UCF,WILL,LB,SR (RS),92,87,93,82,86,88,88,96.53,5
2042,131,J.Hernandez,Texas,LG,OL,SR (RS),92,63,79,79,52,91,76,96.52,5
2042,132,R.Drake,Ohio State,WILL,LB,SR (RS),92,82,92,80,80,88,86,96.23,5
2042,133,J.Hemphill,Stanford,MIKE,LB,SR,92,85,91,86,80,86,81,95.97,5
2042,134,G.Pool,Alabaster,SAM,LB,SR (RS),92,89,93,83,85,86,83,95.81,5
2042,135,T.Goff,Clemson,TE,TE,SR (RS),92,87,89,87,79,77,84,93.52,5
2042,136,D.Holliday,Hammond,WR,WR,SR,91,93,97,98,96,73,93,102.78,5
2042,137,M.Body,Ohio State,WR,WR,SR (RS),91,96,97,93,98,73,95,102.44,5
2042,138,M.Brockel,Tennessee,WR,WR,SR (RS),91,89,89,94,98,70,90,101.48,5
2042,139,K.Hood,Rapid City,CB,CB,SR (RS),91,97,97,92,98,70,80,101.24,5
2042,140,F.Sanders,Washington,CB,CB,SR (RS),91,89,92,91,99,68,86,101.2,5
2042,141,J.Kellum,Maryland,CB,CB,SR (RS),91,91,91,88,99,61,86,101.12,5
2042,142,J.Flanagan,San Diego State,WR,WR,SR (RS),91,86,91,90,90,79,88,100.8,5
2042,143,T.Pool,SMU,WR,WR,SR (RS),91,88,95,97,90,67,79,100.6,5
2042,144,C.Capps,LSU,QB,QB,SR (RS),91,85,87,88,85,65,88,100.47,5
2042,145,T.Francisco,Kansas State,QB,QB,SR (RS),91,82,94,95,95,54,81,100.23,5
2042,146,J.Knight,Arizona,LEDG,EDGE,SR (RS),91,77,88,80,73,86,92,99.93,5
2042,147,D.Judd,USC,WR,WR,SR (RS),91,87,87,91,90,69,76,99.76,5
2042,148,B.Burnette,LSU,REDG,EDGE,SR (RS),91,83,88,82,66,89,83,98.94,5
2042,149,F.Efaw,Notre Dame,HB,RB,SR (RS),91,87,90,97,96,72,98,98.12,5
2042,150,J.Riddick,Oklahoma,LT,OL,SR,91,64,83,90,71,87,91,98.12,5
2042,151,G.Turpin,Iowa,RT,OL,SR,91,69,84,88,78,95,83,97.53,5
2042,152,T.Creer,Alabama,LG,OL,SR (RS),91,65,87,85,68,88,85,97.1,5
2042,153,A.Cabral,Texas A&M,HB,RB,SR (RS),91,91,96,88,93,69,86,97.08,5
2042,154,A.Alabi,SMU,LT,OL,SR (RS),91,68,84,78,50,78,83,96.26,5
2042,155,M.Woods,USC,LG,OL,SR (RS),91,84,89,81,55,94,73,95.96,5
2042,156,J.Petty,Georgia Tech,WILL,LB,SR,91,89,92,81,77,78,87,95.62,5
2042,157,A.Finley,Rice,MIKE,LB,SR (RS),91,94,93,90,91,90,86,95.59,5
2042,158,T.Gardiner,Alabaster,WILL,LB,SR (RS),91,89,92,83,78,79,90,95.54,5
2042,159,D.Lowell,Missouri,WILL,LB,SR (RS),91,92,96,90,88,90,83,95.35,5
2042,160,T.Meeks,Missouri State,WILL,LB,SR,91,85,87,79,76,81,85,95.28,5
2042,161,V.Okada,Georgia,MIKE,LB,SR (RS),91,81,82,83,82,77,89,94.87,6
2042,162,S.Evensen,Alabama,MIKE,LB,SR (RS),91,93,91,86,85,87,82,94.86,6
2042,163,C.DiNapoli,Texas A&M,WILL,LB,SR (RS),91,83,90,74,80,93,76,94.33,6
2042,164,M.Trapasso,Notre Dame,TE,TE,SR (RS),91,83,88,87,82,89,85,93.11,6
2042,165,D.Skaggs,Wake Forest,TE,TE,SR,91,87,79,85,74,79,77,92.35,6
2042,166,O.Teamer,Baylor,WR,WR,SR,90,89,91,95,90,79,95,101.4,6
2042,167,M.Keiaho,Penn State,WR,WR,SR (RS),90,92,95,98,95,77,89,101.02,6
2042,168,A.Cisco,Panama City,CB,CB,SR (RS),90,95,98,96,99,53,85,101.02,6
2042,169,F.Nicks,Georgia,WR,WR,SR,90,95,96,89,91,66,83,100.68,6
2042,170,S.Dora,North Carolina,CB,CB,SR,90,90,93,89,99,69,81,100.52,6
2042,171,D.De La Rosa,Alabaster,CB,CB,SR (RS),90,93,92,93,99,64,84,100.5,6
2042,172,D.Eby,Michigan,CB,CB,SR (RS),90,86,91,90,99,67,88,100.38,6
2042,173,R.Freeman,Miami,WR,WR,SR (RS),90,94,98,89,80,71,90,100.34,6
2042,174,T.Tabor,Ohio State,WR,WR,SR (RS),90,84,83,95,91,72,91,100.1,6
2042,175,R.Bartow,Washington,QB,QB,SR (RS),90,92,96,88,88,77,87,99.98,6
2042,176,K.Cahill,Panama City,CB,CB,SR,90,89,91,89,96,58,76,99.88,6
2042,177,B.Wolf,SMU,WR,WR,SR (RS),90,86,83,94,89,77,88,99.82,6
2042,178,T.Satele,West Virginia,QB,QB,SR (RS),90,82,86,86,86,62,77,98.18,6
2042,179,G.Yancey,TCU,LEDG,EDGE,SR (RS),90,70,81,74,59,97,81,97.95,6
2042,180,J.Wade,NC State,REDG,EDGE,SR (RS),90,78,87,89,62,84,83,97.89,6
2042,181,C.Trimble,Rapid City,LEDG,EDGE,SR (RS),90,83,86,87,72,90,81,97.86,6
2042,182,D.Janovich,BYU,REDG,EDGE,SR (RS),90,84,91,89,64,84,81,97.82,6
2042,183,L.Rodenhauser,Rapid City,REDG,EDGE,SR (RS),90,82,89,84,68,84,81,97.73,6
2042,184,D.Jean-Pierre,Nebraska,FS,S,SR (RS),90,99,97,94,96,83,77,97.3,6
2042,185,T.Stromberg,Wyoming,SS,S,SR,90,92,89,85,87,70,87,97.28,6
2042,186,C.Knowles,Miami,RG,OL,SR (RS),90,65,80,83,41,85,95,97.12,6
2042,187,E.Jewel,Maryland,HB,RB,SR,90,93,92,97,96,76,82,96.88,6
2042,188,M.Parms,Clemson,LG,OL,SR (RS),90,71,87,95,79,99,83,96.57,6
2042,189,D.Slay,Tulsa,C,OL,SR (RS),90,78,82,90,60,91,87,96.48,6
2042,190,S.Priester,Hammond,RT,OL,SR (RS),90,66,79,85,77,90,86,96.17,6
2042,191,A.Simonson,Baylor,HB,RB,SR,90,86,91,89,86,84,86,96.16,6
2042,192,M.Camarda,USC,HB,RB,SR (RS),90,90,92,92,83,86,87,95.94,6
2042,193,E.Turner,Hammond,FS,S,SR (RS),90,88,89,77,74,62,86,95.7,7
2042,194,C.Abraham,Washington,DT,IDL,SR,90,65,72,62,68,97,86,95.67,7
2042,195,T.Reiff,Appalachian State,DT,IDL,SR (RS),90,91,99,71,67,89,82,95.53,7
2042,196,K.Drango,Georgia Tech,RT,OL,SR (RS),90,66,81,86,80,95,78,95.49,7
2042,197,T.Hubert,Western Michigan,SAM,LB,SR (RS),90,86,94,81,84,87,89,95.09,7
2042,198,R.Gage,Iowa,RT,OL,SR (RS),90,66,74,89,73,88,79,94.97,7
2042,199,A.Robinson,Penn State,DT,IDL,SR (RS),90,69,81,72,63,94,82,94.94,7
2042,200,F.Yeboah,LSU,MIKE,LB,SR,90,84,92,79,85,85,84,94.78,7
2042,201,F.Iverson,Panama City,MIKE,LB,SR (RS),90,87,96,86,89,86,86,94.76,7
2042,202,A.Darkwa,Georgia,SAM,LB,SR,90,92,91,91,83,85,79,94.11,7
2042,203,S.Koenig,Nebraska,TE,TE,SR (RS),90,89,91,88,89,92,93,93.47,7
2042,204,J.Golden,NC State,MIKE,LB,SR (RS),90,83,94,76,82,81,78,93.44,7
2042,205,Q.Tucker,Oregon,MIKE,LB,SR (RS),90,93,90,89,85,76,81,93.41,7
2042,206,R.Pelshak,Oregon,SAM,LB,SR (RS),90,85,95,76,78,78,72,92.6,7
2042,207,D.Simms,Rutgers,P,P,SR,90,71,71,76,61,26,86,90.58,7
2042,208,T.Mumphrey,Stanford,WR,WR,SR (RS),89,96,93,99,99,75,88,100.44,7
2042,209,P.Pounds,Auburn,CB,CB,SR (RS),89,92,93,93,95,65,93,100.28,7
2042,210,T.Davis,Alabaster,CB,CB,SR (RS),89,99,99,98,99,71,78,99.96,7
2042,211,T.Ivy,Pittsburgh,WR,WR,SR (RS),89,97,97,90,89,70,88,99.88,7
2042,212,G.Chukwuma,Wake Forest,WR,WR,SR,89,96,94,93,90,61,80,99.74,7
2042,213,D.Wichmann,Michigan State,CB,CB,SR (RS),89,88,89,87,99,67,91,99.72,7
2042,214,D.Draughn,Penn State,CB,CB,SR (RS),89,90,94,93,99,66,84,99.68,7
2042,215,S.Locke,USC,CB,CB,SR,89,88,89,87,99,64,83,99.58,7
2042,216,M.Brown,Ole Miss,CB,CB,SR (RS),89,89,93,90,99,69,84,99.48,7
2042,217,A.Licata,Wyoming,WR,WR,SR (RS),89,91,84,99,91,77,86,99.4,7
2042,218,S.Bello,Georgia Tech,WR,WR,SR (RS),89,83,90,93,94,74,88,99.36,7
2042,219,R.Keys,San Diego State,WR,WR,SR (RS),89,87,91,91,87,84,85,98.96,7
2042,220,Q.Babcock,Oregon,CB,CB,SR (RS),89,99,98,99,94,76,68,98.96,7
2042,221,I.Keke,Nebraska,QB,QB,SR (RS),89,84,86,94,93,56,83,98.51,7
2042,222,J.Uwaezuoke,Ole Miss,LEDG,EDGE,SR (RS),89,79,87,85,61,91,91,98.43,7
2042,223,G.Wicks,Navy,REDG,EDGE,SR (RS),89,80,87,90,67,76,89,97.49,7
2042,224,B.Winn,West Virginia,SS,S,SR,89,95,97,90,92,67,79,96.7,7
2042,225,J.Coronado,Baylor,LT,OL,SR,89,69,77,91,75,93,86,95.94,7
2042,226,D.Lemmons,Missouri,RG,OL,SR,89,63,73,76,53,86,89,95.81,7
2042,227,B.Jameson,Arkansas,RG,OL,SR,89,61,79,89,73,90,83,95.51,7
2042,228,M.Tong,USC,C,OL,SR (RS),89,62,78,78,52,95,85,95.45,7
2042,229,T.Carruthers,LSU,RG,OL,SR (RS),89,59,69,99,99,91,89,95.36,7
2042,230,M.Salcedo,Alabaster,HB,RB,SR (RS),89,93,96,96,91,74,80,95.36,7
2042,231,J.Toure,USC,C,OL,SR (RS),89,65,82,95,79,90,79,94.65,7
2042,232,J.Reinbolt,Iowa,LT,OL,SR (RS),89,75,88,81,45,86,77,94.49,7
2042,233,G.Crum,Panama City,RG,OL,SR (RS),89,63,82,74,53,93,76,94.41,7
2042,234,B.Nowell,Iowa,RG,OL,SR (RS),89,69,88,84,70,88,75,94.33,7
2042,235,K.Devey,Oregon,C,OL,SR (RS),89,63,76,89,81,92,77,94.22,7
2042,236,D.Sharga,West Virginia,RT,OL,SR (RS),89,80,89,83,52,89,73,94.17,7
2042,237,G.Hartline,Arizona State,MIKE,LB,SR,89,90,92,90,87,83,86,94.16,7
2042,238,D.Yates,Oklahoma,DT,IDL,SR,89,75,85,70,65,88,77,93.94,7
2042,239,K.Rosa,TCU,MIKE,LB,SR (RS),89,85,90,85,84,90,86,93.89,7
2042,240,B.Rowe,Washington,WILL,LB,SR (RS),89,80,88,68,78,85,76,92.32,7
2042,241,M.Holley,Tennessee,TE,TE,SR (RS),89,87,86,89,76,85,75,90.67,7
2042,242,A.Willingham,Georgia Tech,K,K,SR,89,70,72,72,59,34,84,89.56,7
2042,243,K.MacGinnis,Missouri,P,P,SR (RS),89,71,70,71,52,38,86,89.26,7
2042,244,N.Kramer,San Diego State,CB,CB,SR (RS),88,85,91,88,96,66,93,98.98,7
2042,245,H.Foster,Virginia Tech,WR,WR,SR,88,91,92,94,90,63,79,98.64,7
2042,246,J.Dobbs,Tennessee,WR,WR,SR (RS),88,91,91,92,85,73,88,98.54,7
2042,247,A.LeCounte,LSU,CB,CB,SR (RS),88,95,98,96,93,74,75,98.42,7
2042,248,L.Ogbonnaya,Rapid City,WR,WR,SR (RS),88,88,90,96,89,74,83,98.3,7
2042,249,K.Earl,LSU,CB,CB,SR (RS),88,94,97,92,90,66,76,98.14,7
2042,250,E.Thomson,Rapid City,QB,QB,SR (RS),88,79,83,89,87,59,84,97.5,7
2042,251,M.DuVall,Hammond,REDG,EDGE,SR (RS),88,82,86,90,65,94,89,97.49,7
2042,252,J.Vaughan,SMU,WR,WR,SR (RS),88,85,85,82,85,61,83,97.26,7
2042,253,K.Cisco,Wisconsin,WR,WR,SR (RS),88,87,85,93,90,58,74,97.26,7
2042,254,S.Luter,USC,REDG,EDGE,SR,88,88,92,77,66,90,82,97.2,7
2042,255,J.Vogt,Arizona State,REDG,EDGE,SR (RS),88,78,81,91,69,79,87,96.33,7
2042,256,M.Cheeseman,Alabama,FS,S,SR,88,99,96,93,96,70,77,96.16,7
2042,257,J.Meeks,TCU,SS,S,SR,88,92,89,80,99,69,82,95.6,7
2042,258,D.Antwine,Penn State,FS,S,SR,88,90,91,88,88,67,83,95.56,7
2042,259,S.Morton,Maryland,RG,OL,SR (RS),88,62,72,88,71,81,95,95.01,7
2042,260,M.Drango,Nebraska,LG,OL,SR (RS),88,69,87,78,56,88,85,94.76,7
2042,261,M.Key,Iowa,LT,OL,SR (RS),88,58,83,82,69,87,81,94.03,7
2042,262,D.Rome,Texas A&M,HB,RB,SR,88,84,90,84,79,86,86,94,7
2042,263,J.Doss,Tulsa,LT,OL,SR (RS),88,63,81,90,73,86,81,93.89,7
2042,264,J.Lovelace,Baylor,HB,RB,SR (RS),88,81,84,86,90,81,88,93.82,7
2042,265,W.Holyfield,Kentucky,HB,RB,SR (RS),88,85,87,87,79,74,85,93.46,7
2042,266,S.Butcher,Virginia Tech,DT,IDL,SR (RS),88,64,73,57,76,95,83,93.19,7
2042,267,T.Reavis,West Virginia,LG,OL,SR (RS),88,62,73,76,45,84,75,92.69,7
2042,268,M.Grymes,Tulsa,RG,OL,SR (RS),88,66,74,75,49,89,71,92.46,7
2042,269,E.Burton,Appalachian State,WILL,LB,SR (RS),88,78,87,84,82,78,85,92.3,7
2042,270,D.Mallory,Maryland,SAM,LB,SR (RS),88,81,87,83,76,78,83,92.05,7
2042,271,S.Meinerz,USC,SAM,LB,SR (RS),88,80,91,77,82,87,76,91.77,7
2042,272,T.Dunbar,North Carolina,RG,OL,SR (RS),88,63,61,69,51,87,71,91.77,7
2042,273,K.Fine,Houston,WILL,LB,SR (RS),88,86,87,83,78,80,79,91.64,7
2042,274,M.Waiters,Appalachian State,SAM,LB,SR (RS),88,78,89,68,81,81,74,91.15,7
2042,275,M.Gruttadauria,LSU,K,K,SR,88,72,69,71,54,25,85,88.86,7
2042,276,T.Likely,Wake Forest,K,K,SR (RS),88,76,75,71,62,36,84,88.65,7
2042,277,R.McKee,UCLA,P,P,SR,88,73,73,75,62,29,81,88.58,7
2042,278,N.O'Sullivan,NC State,K,K,SR (RS),88,71,72,71,61,36,86,88.56,7
2042,279,A.Goda,Iowa,K,K,SR (RS),88,71,70,70,45,25,85,88.36,7
2042,280,J.Bajema,Hammond,K,K,SR (RS),88,74,70,70,56,35,81,88,7
2042,281,J.Blizzard,Michigan State,WR,WR,SR,87,93,95,94,94,70,82,98.46,7
2042,282,L.Duke,Arizona,CB,CB,SR (RS),87,91,94,94,99,66,85,98.28,7
