YEAR,TEAM,NAME,POS,YEAR_CLASS,OVR,SPD,ACC,AGI,COD,STR,AWR,THP,THV,THA,THS,TRL,ELU,CAR,CTH,SPC,RLS,MCV,ZCV,PRC,TAK,POW,BKB,BLK,PBK,RBK
2042,Akron,A.Marciano,K,SR (RS),80,76,74,74,61,33,73,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,D.Edmond,HB,JR (RS),80,82,85,91,83,77,85,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,A.Exum,WR,SR (RS),78,81,86,89,83,69,78,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,D.Nortman,REDG,SR (RS),78,84,86,78,68,83,71,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,A.Stubbs,RG,SR (RS),77,53,63,88,62,80,79,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,J.Hyman,HB,SR,77,86,89,89,91,60,74,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,T.Lugo,FS,JR,77,88,84,78,92,53,76,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,G.Draft,DT,SR (RS),76,59,73,60,69,85,85,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,M.Boyd,FB,SR,76,72,71,71,68,81,62,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,D.Rudolph,WILL,SR (RS),76,76,81,85,73,73,87,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,C.Ausbon,WR,SR (RS),76,84,86,84,88,73,85,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,D.Ojabo,RG,JR (RS),75,61,69,70,58,80,77,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,G.Bryant,CB,JR (RS),75,86,88,86,99,63,77,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,D.Joe,CB,JR (RS),74,86,90,88,99,48,73,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,S.Erving,TE,SR (RS),74,80,84,78,71,77,69,0,0,0,0,0,0,72,69,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,D.Banks,QB,SO (RS),74,82,77,82,78,44,59,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,D.President,SAM,JR (RS),74,83,91,87,84,71,75,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Akron,M.Dombrowski,WILL,FR (RS),74,79,88,80,76,78,71,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,S.Piscitelli,TE,SR,99,77,75,69,68,77,84,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,E.Williams,QB,SR (RS),97,93,90,94,94,64,91,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,C.Klopfenstein,TE,JR (RS),95,74,80,72,74,84,75,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,J.Rudolph,LT,JR (RS),94,77,90,85,53,98,88,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,D.Loyd,WR,SR (RS),93,89,96,99,97,83,84,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,M.Boone,WR,SR (RS),92,91,94,98,91,81,84,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,B.Obi,WR,SR (RS),90,88,94,86,86,83,79,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,W.Nicholson,QB,JR (RS),90,83,83,82,84,65,82,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,A.Devito,CB,SR (RS),89,93,97,93,92,73,87,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,S.Stick,WR,SR,89,94,96,91,88,73,80,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,D.Augustine,WILL,SR (RS),89,90,95,83,79,84,91,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,J.Williams,RT,SR (RS),89,63,85,85,77,89,76,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,B.Saldiveri,LG,SR (RS),88,72,87,76,56,96,68,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,C.Thrasher,LG,SO (RS),87,65,83,76,64,85,83,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,J.Byler,RT,SO (RS),86,59,73,77,68,87,77,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,T.Gooch,WR,SO (RS),86,89,85,92,90,72,79,0,0,0,0,0,0,84,81,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,T.Olvera,RG,FR (RS),86,69,79,85,52,95,73,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,A.Hodges,WR,SO (RS),86,92,96,91,86,76,81,0,0,0,0,0,0,72,77,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,J.Murphy,HB,JR,86,89,95,87,87,82,81,0,0,0,0,0,0,91,85,0,0,0,0,0,0,0,0,0,0,0
2042,Alabama,S.Carver,LEDG,JR (RS),85,86,89,80,66,83,82,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,A.Walters,MIKE,SR (RS),95,92,97,84,87,84,87,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,J.Wayne,RG,JR (RS),93,68,88,87,71,99,80,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,M.Pool,QB,JR (RS),93,88,93,92,92,61,89,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,B.Freeman,CB,SR (RS),92,99,99,99,97,62,82,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,E.Womack,DT,SR (RS),91,80,84,74,67,99,84,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,C.Williams,WILL,SR (RS),91,87,94,80,76,78,89,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,J.Wilkins,HB,JR (RS),89,85,92,92,80,85,89,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,A.Forsett,HB,JR (RS),88,83,87,91,84,71,86,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,B.Ezeala,LT,JR (RS),88,68,80,82,76,96,79,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,T.Busby,HB,JR,87,89,90,93,91,80,77,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,F.Ebiketic,REDG,SO (RS),86,72,82,74,63,91,72,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,C.Epperson,REDG,SR (RS),86,77,83,94,62,82,71,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,G.Cash,C,SR (RS),86,62,83,88,75,88,83,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,M.Soto,RT,JR (RS),85,72,86,90,57,92,74,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,M.Seigler,RT,SO (RS),84,77,90,76,56,90,78,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,D.Heimburger,WR,SR (RS),84,93,96,85,83,76,86,0,0,0,0,0,0,91,0,0,88,0,0,0,0,0,0,0,0,0
2042,Alabaster,N.Ring,DT,SO (RS),83,77,82,71,61,95,71,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,A.Bain,LG,SR (RS),83,64,83,78,66,89,83,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,R.Fehoko,DT,SO (RS),83,79,83,78,64,88,67,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2042,Alabaster,A.Head,WR,JR (RS),82,91,88,88,85,71,80,0,0,0,0,0,0,72,0,0,76,0,0,0,0,0,0,0,0,0
2042,Appalachian State,D.Breida,HB,SR,91,87,90,95,87,70,99,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,T.Rheem,SS,SR,89,97,98,91,96,67,82,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,E.Mixon,WILL,JR (RS),85,78,88,81,81,68,82,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,A.Elgin,C,SR (RS),85,60,86,89,89,83,80,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,I.Cherry,HB,SR,84,92,95,88,87,75,89,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,L.Samia,WILL,SR (RS),84,89,96,78,82,84,78,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,R.Baity,FS,SR (RS),83,84,89,82,85,56,70,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,K.Dogins,REDG,JR,83,85,88,84,65,83,76,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,T.Wilkes,SS,SR (RS),82,88,86,88,86,56,77,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,G.Miner,WR,SR (RS),82,84,89,85,89,82,86,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,D.Everett,MIKE,SR (RS),82,80,84,82,76,74,77,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,G.Ferweda,SAM,SR (RS),82,76,88,81,78,74,86,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,L.Bequette,RT,SR (RS),81,80,92,77,51,87,66,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,D.Perkins,LEDG,SR (RS),81,78,79,85,60,91,78,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,J.Kight,MIKE,SR,81,81,86,79,75,74,73,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,B.Ogbogu,QB,JR (RS),80,80,90,90,87,66,78,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,A.Mixon,DT,FR (RS),80,61,71,60,58,89,63,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,L.Shenault,SAM,JR (RS),80,77,87,69,78,84,62,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,J.Iosivas,RT,SR (RS),80,76,85,78,49,96,84,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Appalachian State,S.Mare,DT,SR,80,63,75,63,48,90,70,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,S.Lambo,TE,SR (RS),89,73,77,74,71,79,75,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,B.Griffen,QB,SO (RS),83,85,91,90,88,56,80,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,E.Starr,HB,JR (RS),83,89,92,93,85,70,72,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,J.Hunter,LEDG,JR (RS),83,79,87,88,58,75,83,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,Z.Flanagan,WR,SR (RS),82,92,97,95,90,70,88,0,0,0,0,0,0,69,84,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,A.Oladokun,WILL,JR,82,87,91,90,83,73,76,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,M.Luvu,K,SR (RS),81,69,68,75,61,38,74,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,O.Choy,K,JR (RS),81,72,68,71,60,31,72,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,M.Bowanko,P,SR (RS),81,71,69,74,50,33,74,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,C.Wolf,HB,SR (RS),80,84,88,83,89,70,81,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,C.Costanzo,LT,SR (RS),80,64,79,69,54,92,66,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,N.Vellano,REDG,SO (RS),80,77,82,80,62,84,79,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,E.Jacques,P,SO (RS),80,72,70,71,50,28,73,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,J.Yelito,CB,SR (RS),80,92,92,89,95,71,72,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,B.Cook,HB,JR (RS),79,88,90,88,82,66,74,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,A.West,HB,FR (RS),78,92,90,91,87,66,69,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,K.Cummins,DT,JR (RS),77,70,83,73,58,86,75,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,T.Fuehne,QB,SO (RS),77,72,78,81,84,62,85,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,B.Spears,QB,JR (RS),77,72,79,84,78,43,71,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona,L.Neilon,REDG,JR,77,77,83,72,68,91,73,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,D.Carney,QB,SR (RS),91,84,90,97,95,62,89,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,R.Dallas,RG,SR,90,66,82,81,48,91,87,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,J.Singletary,WR,SR (RS),86,90,96,98,96,74,78,0,0,0,0,0,0,71,94,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,M.Bush,TE,SR,86,84,81,87,70,82,73,0,0,0,0,0,0,76,78,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,D.Radovich,WR,JR,85,91,96,95,93,70,75,0,0,0,0,0,0,77,85,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,H.Okoro,MLB,JR (RS),85,89,89,90,87,77,89,0,0,0,0,0,0,54,0,0,0,0,0,42,0,0,0,0,0,0
2042,Arizona State,D.Winchester,CB,SO (RS),85,98,99,98,97,72,76,0,0,0,0,0,0,72,0,0,0,62,0,0,0,0,0,0,0,0
2042,Arizona State,V.Incoom,HB,SR (RS),85,81,88,90,91,79,87,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,E.Hilliman,HB,JR (RS),84,87,89,86,88,78,83,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,R.Ramsey,LT,FR (RS),82,67,81,83,67,97,85,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,M.Willingham,K,SO,82,71,69,77,49,38,79,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,T.Boyett,LG,JR (RS),82,61,82,78,47,91,66,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,N.Trevino,P,SR,82,71,69,72,54,27,79,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,J.Maddox,HB,FR,81,84,90,89,87,75,71,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,E.Procter,QB,JR (RS),81,74,85,86,79,58,70,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,J.Ezekiel,WR,SO (RS),80,94,93,83,88,62,66,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,M.Lauletta,HB,FR (RS),80,82,91,93,90,68,76,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,E.AvriI,C,SO (RS),80,54,76,85,71,80,83,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,B.Short,WILL,JR,79,75,88,81,76,73,77,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arizona State,C.Royer,CB,SO (RS),79,90,92,88,94,67,77,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,L.Emery,QB,SR (RS),95,84,92,90,89,63,86,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,B.Fifita,HB,SR (RS),95,86,87,95,89,89,86,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,T.Grubb,RT,SR (RS),92,61,79,86,71,89,87,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,30,0
2042,Arkansas,M.Cross,WR,SR,92,93,92,89,93,67,76,0,0,0,0,0,0,79,88,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,G.Tolbert,WR,SR,88,89,96,99,96,69,76,0,0,0,0,0,0,73,88,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,G.Shockey,FS,SR,88,91,88,87,88,60,81,0,0,0,0,0,0,71,74,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,T.Canady,QB,JR (RS),88,82,86,89,88,55,77,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,M.Sloman,HB,SO (RS),88,87,93,85,79,81,82,0,0,0,0,0,0,99,84,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,J.LaRue,RG,SR (RS),88,65,77,76,65,88,83,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,30,0
2042,Arkansas,S.Kalawai'a,LEDG,SR (RS),87,81,85,85,66,83,82,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,C.Mangum,C,JR (RS),87,65,78,73,51,86,82,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,V.Crumpler,TE,SR (RS),87,83,78,86,68,79,62,0,0,0,0,0,0,72,76,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,D.Enenkpali,DT,JR (RS),86,69,75,62,61,93,83,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,A.Nnadi,LEDG,SR (RS),86,84,88,79,70,86,75,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,S.Eby,REDG,FR (RS),86,87,86,80,65,87,78,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,D.Vickerson,WR,SR (RS),86,96,96,92,91,62,76,0,0,0,0,0,0,71,84,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,G.Virgin,LG,SR (RS),85,61,69,87,67,90,73,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,H.Brutus,MIKE,JR,85,83,87,84,77,82,81,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,J.Dodge,TE,SO,85,86,83,89,75,81,64,0,0,0,0,0,0,78,71,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas,L.Manupuna,WILL,SO (RS),85,85,90,87,82,79,80,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,A.Busby,C,SR (RS),89,63,81,77,48,88,82,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,B.Chisena,CB,SR (RS),83,87,90,86,99,56,83,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,B.Cherry,K,JR (RS),83,73,71,77,58,25,84,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,M.Flanagan,REDG,SR (RS),82,64,71,69,70,90,85,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,L.Pitoitua,K,JR (RS),82,66,72,72,61,33,75,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,T.Willis,P,SR (RS),80,73,71,70,59,27,74,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,L.Pouha,QB,JR (RS),80,81,81,86,78,50,76,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,T.Jeffery,LG,SR (RS),80,57,74,89,65,85,73,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,K.Cook,RG,SR (RS),79,61,77,85,73,83,69,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,M.Ezukanma,C,SR (RS),79,62,76,79,79,86,76,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,L.Dunham,HB,JR (RS),79,88,89,86,86,69,75,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,L.Rheem,TE,JR (RS),79,67,79,69,70,81,75,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,R.Bequette,K,SO (RS),78,72,68,71,57,33,73,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,B.Griffen,P,JR (RS),78,68,68,70,57,28,70,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,M.Chanoine,RT,SR (RS),77,60,77,83,71,80,75,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,S.Folk,DT,JR (RS),77,58,70,59,68,86,70,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,J.Reeshad,FS,SR,77,84,80,78,76,59,75,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,K.Incognito,FS,SR (RS),76,86,83,78,70,68,71,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,B.Soliday,CB,SR (RS),76,82,85,80,95,39,80,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
2042,Arkansas State,J.Granger,DT,JR (RS),75,53,62,53,62,84,72,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
